	P0 Centroid	P1 Centroid	P2 Centroid
RCC25-677	2.3385698158640973	0.6305367158477161	1.5602500001860145
RCC25-281	1.0162812852330805	1.579606365077433	2.0712917601977066
RCC25-229	0.7754391466739211	1.658749605348433	2.216274152237819
RCC25-582	1.981279173153302	0.6550414168342175	1.6275903383092534
RCC25-678	1.572542980381901	1.637317185049438	2.1500155108348045
RCC25-7	1.4726875169003553	2.5174012095931366	2.294303660265277
RCC25-414	2.6733857652572945	0.7665015461378359	2.496040510849836
RCC25-438	1.8848182210158932	1.0905062374337362	1.0293909599901665
RCC25-939	1.9972590147719513	2.280625079821987	3.6483102544647767
RCC25-624	3.961137511364308	1.5632106694837484	2.5670604937040773
RCC25-214	1.5314012579420835	3.07854394799127	3.7904426728929392
RCC25-726	3.6424817508630474	2.456378272608527	3.9201306478053057
RCC25-982	1.6816132543371562	0.7924131848341627	1.5562435580104022
RCC25-118	5.217052532738493	2.8056471425350185	3.772671704440209
RCC25-646	2.492743260048284	0.8930473297936771	1.0602495178362379
RCC25-493	2.8691879527213127	2.8128461672511995	4.135481274911637
RCC25-540	3.4498842883348497	3.823510437016053	2.904942905721434
RCC25-272	0.8753732943635314	1.9214878778690352	1.7320472128446605
RCC25-627	3.8270589362028034	1.9217652758495665	2.063510374392016
RCC25-880	3.0307388516060714	0.8380087136065547	2.395212189757749
RCC25-465	1.4407119283882146	2.2310787308892475	2.684217620279675
RCC25-345	2.0262636050377494	0.7243919687384921	1.3027400659035482
RCC25-595	1.7564815127875695	1.4484722921913948	0.8911892998022088
RCC25-1075	2.4379404304237076	1.1295994005826222	1.5784333932407681
RCC25-509	0.5683081787561161	1.8552304928984975	2.247294760441558
RCC25-1064	1.9915085224758913	1.3865495584753158	2.582223294622533
RCC25-1000	2.198985025752955	2.410806847802803	1.99722345637176
RCC25-781	1.9314731579477387	0.5265644953509017	1.920085979049077
RCC25-59	0.17371067978228508	2.426363617021483	2.7127062477607136
RCC25-72	2.0972346985679	3.2523087662533774	1.9887692748960624
RCC25-81	1.7143421790344817	1.6023699473325346	1.223021010697877
RCC25-94	2.658614834729819	2.186056547744492	0.5719781510590686
