	P0 Centroid	P1 Centroid	P2 Centroid	P3 Centroid
RCC25-677	1.9955896478349007	1.857712415178335	3.8795520786959794	3.1190851472684686
RCC25-281	1.5661533153174072	2.080796580854547	1.4858099492484897	2.761534513627603
RCC25-229	1.3973871411377181	1.2501281133447073	2.600029930459231	1.7985470644426076
RCC25-582	2.2686528502123413	1.2326780904574084	3.2150355253408	1.6022941691881154
RCC25-678	2.0035955858418397	2.6877075847343534	1.2471724277867544	3.07733927162833
RCC25-7	3.0591530114288883	3.248715006857206	3.7828802550390703	3.535173127772798
RCC25-414	1.6824990919032716	2.702624388980219	3.6272805605556924	3.959375532228511
RCC25-438	0.5322547651916368	1.1683889999133974	2.763966041779637	2.5853165483862592
RCC25-939	1.8590742861956857	2.402167688700178	4.236025086607744	3.880918532570317
RCC25-624	1.4626650961786145	1.5611389619712859	3.3511078435290393	2.7459782186892525
RCC25-214	1.209919018964176	2.2849740265637366	2.6069065014228348	3.3311078491248765
RCC25-726	1.4081379624820514	2.5442744167073674	3.221094354681397	3.9171543731312464
RCC25-982	0.8774600928585861	1.3602804533148678	2.666845465210645	2.3812194555361823
RCC25-118	1.159318439812842	1.9587057631788887	1.7623804082148666	2.902454732697195
RCC25-646	1.218418126970108	1.9650692972885933	2.3449338118324237	2.798592883739297
RCC25-493	1.92676970069673	2.888961953026822	3.485830649073196	3.982599858156739
RCC25-540	4.620899294089083	3.912487841632034	6.6266979809357265	4.618253737254776
RCC25-272	2.0978940776581996	1.621225498654388	2.3688377119958846	1.4444299833631165
RCC25-627	1.45503044255059	1.1591256772694947	3.076663018340081	2.0095133824342066
RCC25-880	1.5222383149466627	1.6527380596620718	1.46491571411988	1.9075149074934636
RCC25-465	1.815119576572944	1.3037319543555705	2.6658713230533215	1.9871326250349388
RCC25-345	2.6084194034033703	2.0511509308275024	1.9696636319937646	1.568936477291956
RCC25-595	1.8373080216701756	0.7765501436317225	3.345262585379917	1.4025523590508149
RCC25-1075	2.1459864555845827	2.7382084924757426	0.8994737173319369	3.015668112660731
RCC25-509	2.2663563775702205	2.1479516731014727	1.4981773544386214	1.9643453600786052
RCC25-1064	2.5000518228940205	2.9820690055860033	0.6816174637353246	3.220433884851641
RCC25-1000	3.5365123154402096	3.6307575418342877	1.3240361304852943	3.2180845633910486
RCC25-781	2.178260390756717	1.1434480080854108	3.6448081067593123	1.5109977859080266
RCC25-59	3.1094249316965565	2.440772574362357	2.437990085114947	1.3465685151424203
RCC25-72	1.6268340249254452	1.6615287126348888	2.6601181724999097	2.6281223527783473
RCC25-81	1.0446760520748355	0.8633401550804728	3.0073697702150564	2.114283473677107
RCC25-94	1.9734152574208714	1.726825258725344	2.1549667502578287	1.6963414043947256
RCC25-97	1.689612786522642	1.363854815724847	3.0138121207943143	2.375485483507225
RCC25-142	4.621406979005966	3.5869705858346976	4.6313563420431185	2.9558394382603885
RCC25-154	2.6055943416241294	1.3507461978750768	3.4354164703828793	0.9893366389994991
RCC25-265	1.4529640189073703	0.9101564812445793	2.3800471592654837	1.453074418138422
RCC25-372	2.72266373479994	2.5962134596092685	1.8510730098738966	2.2512998269159468
RCC25-406	2.5958724370101187	1.710045939780935	2.7484465120097843	1.32176028661749
RCC25-504	2.347670506279378	2.4387508965821163	0.7810195872945527	2.2898301406084007
RCC25-526	3.3478288551762594	3.147787260413322	1.5559127367994987	2.548700024008824
RCC25-541	2.2838483130388663	3.0875024259351775	1.6877393822478204	3.5127937032352357
RCC25-567	1.3553637858350298	0.9788606476118867	1.9167415394413716	1.4058772907638597
RCC25-594	1.4766620483126276	0.8864038323730165	3.267278774352252	1.8788918683235432
RCC25-664	1.8359489460742497	1.636805827645233	3.7099246363113103	2.527496226216026
RCC25-684	2.4553167071824245	1.5303430401953773	2.655367319775705	1.1258604081629888
RCC25-709	1.9686575473796066	2.4159291871419106	1.809652798552365	2.764648895855628
RCC25-715	2.32115863305726	2.5847652236607406	2.077346105953912	3.201100218816801
RCC25-754	2.5267783315517827	1.8165414848226502	2.952683511138035	1.1388900585112465
RCC25-836	1.1723326195006887	1.349460172024788	1.59981962916566	1.8694974153011796
RCC25-874	1.7154094073162431	2.43055495593292	1.1281843529671458	2.885101256082069
RCC25-922	2.633774729505245	1.4415896597485678	3.5751697122265242	1.485872066443736
RCC25-931	1.238648096982537	1.8568194313948223	1.9740186134913107	2.7284022736932085
RCC25-941	1.4749557550842014	0.8498040363513765	2.6468721334305436	1.4946004281472842
RCC25-944	2.629871495115366	2.3914960610106006	2.140609273964124	2.386958059446997
RCC25-947	3.0028458124024526	2.7121488750526663	1.543124151216719	2.202118539061323
RCC25-952	1.3677517104084376	1.8147282114871983	2.3777204380691583	2.431722267686259
RCC25-965	0.9743436470638416	0.8140696518134948	2.5835682647076026	1.922170587577289
RCC25-988	1.2114829143519485	0.4314558744357086	3.072568361268381	1.8690594132110483
RCC25-996	1.534448568721157	1.9936656497942358	1.2177347588146232	2.4822428900408706
RCC25-1024	1.032672988935019	1.7471427731703553	1.7890118905841006	2.6213283598596555
RCC25-1040	2.07439791497117	1.0005178270713206	3.233255797095731	1.4425946427465173
RCC25-1044	2.721446014957589	2.3466474813894345	2.1579825038973666	2.2879513595417804
RCC25-1048	2.1604584158135927	1.17989587904756	3.8127522921701624	2.1130316689090023
RCC25-64	3.437399259759963	2.600156156040138	4.4933514754289305	2.695200937944728
RCC25-343	4.9716918997751645	4.105601990340583	4.2952943067861185	2.646536714776237
RCC25-367	1.7315700745981526	1.4472099826851836	1.6782847323921186	1.4378582637500374
RCC25-380	3.675289087700081	3.3783177251930865	2.03783619855356	2.583352414798064
RCC25-485	1.54492226700683	2.112926709282525	2.0894794278721194	2.722711906677963
RCC25-728	1.2609249276920047	1.1838827089801784	2.7976709015329684	2.112206912081692
RCC25-924	1.292664714278185	2.2499957971921996	1.611099363984783	3.1541558914467824
RCC10-7	4.928720264803201	4.1475081758063945	3.766896267740835	2.9776146902768623
RCC10-76	2.5349312711270535	1.8031254258923024	2.1961335090029293	1.0662469071961258
RCC10-114	1.7356784119950786	0.7672956782431429	3.028217740600928	1.695788253198299
RCC10-145	1.8100373957615692	1.1266179552030962	2.7690189450714473	1.5546535880436865
RCC10-147	2.897524737558071	2.1390156983477913	2.92857331811567	1.1244188794679273
RCC10-150	4.219984699602201	2.9540149652665506	5.18156036784301	2.5507361842113494
RCC10-196	0.8982331146124201	1.1259127455157463	1.922141783144668	1.9014689018252273
RCC10-8	0.9027956383994067	1.428233845186411	1.684940033447897	2.216164739393525
RCC10-11	2.8390539943138227	2.9486255880770953	4.807885981593124	3.8826357648984287
RCC10-20	4.0427192108412155	3.009780092255392	4.732843378010783	2.848677799950823
RCC10-25	1.7827209504427923	1.384555109418421	2.408573051062613	2.006846679121777
RCC10-28	0.659721344741686	1.1778348843878295	2.7480246528353724	2.445446853070195
RCC10-35	2.3672785775874816	2.0003274072043298	3.0725904521026037	2.3423837323161907
RCC10-36	1.0556440629327983	1.842463800849046	2.2669854747035054	2.679139131777076
RCC10-44	1.5187264573438513	2.4583804425062916	1.4406202552381366	3.23802292953221
RCC10-47	2.0173944476206853	2.2824196567357107	3.104464126262171	2.8832963859663137
RCC10-49	2.10817984984628	1.5104350907804545	3.784427236518469	2.532923879397502
RCC10-53	4.909196580481844	4.945881013851548	3.207355998193553	4.637451732134012
RCC10-57	1.102355050656883	2.0508630915446986	3.1460233466540752	3.3061719781970904
RCC10-65	1.744112202584756	1.9479264462370027	1.8493216960317658	2.3976989378190394
RCC10-68	2.401547461985407	2.823931784040618	1.0270277486188977	3.1794727404245022
RCC10-72	3.5538224841143755	2.4447567660859013	4.956837340720238	2.2968742124080337
RCC10-84	1.6432881508703727	1.7069323413274462	1.2777275293223234	1.8545191007638882
RCC10-90	1.1000598218099085	2.0675779992952212	1.971796748944988	3.0727580127875678
RCC10-92	1.0245202160734326	1.8103726266631135	1.6560462216674183	2.584460516598123
RCC10-93	1.5393921199622553	1.6824851953795652	2.2404051330394887	2.3606238645717355
RCC10-97	1.4193425273528464	1.843292633731744	1.722535137279756	2.2844951492341
RCC10-98	1.9154637557411358	2.4843381925661943	1.301351883919259	2.9716281906839885
RCC10-99	2.1925248577501555	2.500229174913249	4.355314415013637	3.7679241728249706
RCC10-103	1.94699306654109	0.9545860916623073	2.64250340739759	1.1776541310566329
RCC10-110	2.261357310898991	2.3917702091626247	0.9167249242700372	2.4120206678501175
RCC10-111	6.308649515457833	5.434595092945977	5.468594547168188	4.290065195613598
RCC10-113	1.400103522119957	1.337111601405575	1.6373814938698157	1.8299291704098397
RCC10-116	1.8966727198202904	2.053715650782424	1.1417118044858274	2.0860139263973214
RCC10-125	3.17021491406384	2.493667777596733	3.712494875785516	1.8772895847821955
RCC10-136	1.9410786468155539	0.7999007452246422	2.842915569006175	0.7400298627350292
RCC10-137	2.111873403473131	1.0118975815192117	3.5597722511363017	1.4505682320977544
RCC10-141	1.2048806022807377	1.7815970763395454	1.8333445983225087	2.634831750021908
RCC10-154	1.846446761869921	1.0246572105170102	3.7344856735794054	1.9907102985676617
RCC10-163	1.148507263330363	1.2943892655444078	2.310085701504898	1.9954066837174609
RCC10-165	1.8814720808295309	1.9783576990024945	2.075559024065764	2.1179179733263256
RCC10-169	2.8948826644455874	2.5525489563657024	2.4176088857083653	2.611037353797766
RCC10-178	1.22352612100288	1.3880194008023965	1.4761871611684474	1.9567168839155658
RCC10-191	1.6906716640515693	2.3201508950512415	2.9981264062192206	3.3719329024629467
RCC10-194	2.1308271126194605	2.8481258473417292	4.324568223876669	4.171798624533107
RCC25-347	0.9282106016903011	1.1867760811320816	2.7787506422530988	2.2604599706012576
RCC25-593	2.863952096566304	2.2303602092260517	4.430958852628158	2.7650477472836874
RCC25-3	2.622756688643494	2.747286519733948	2.128920631720415	2.5822699789163206
RCC25-933	1.0298535124707513	2.120383769830442	1.7630593133013732	3.0319821152303805
RCC25-133	2.105606295962928	2.574573495567646	0.3760052013649468	2.8092761846995407
RCC25-535	1.0880057452279837	1.1258292619305166	2.5714931678755457	2.2906869434199364
RCC25-861	1.3982007120428868	2.6594882165419413	2.635821893059912	3.8223360085046187
RCC25-73	6.052319174418472	5.849581696976488	8.430449862035234	6.900499104544729
RCC25-495	1.9060994601947703	2.4710663430313606	2.651752211287631	3.5314523323202853
RCC25-363	11.012352186933072	9.870676394462562	12.440332502610314	9.589599598660563
RCC25-134	5.379007040426677	6.20176285796229	3.740430510020655	6.583435577636111
RCC25-889	0.8679307022892959	0.6260155238484625	2.472510647236279	1.925721165296638
RCC25-539	2.730882714971578	3.6866975349294027	3.623162079094479	4.90574631347193
RCC25-683	2.3695359103114866	3.0369689604697006	1.210639807536598	3.327604741540136
RCC25-520	0.8522476019195191	1.5187067576057893	2.1717675692937983	2.4984753356306144
RCC25-959	2.155565766731347	3.3710159349196487	3.1202065169041284	4.480119336717243
RCC25-463	3.038962572299591	2.9254702723363444	3.48243498886011	3.365767644848764
RCC25-639	1.197877039600005	0.8570813978758174	2.3016495828286825	1.831703054643542
RCC25-349	1.2903773520908435	0.9305854397920329	2.175533648698177	1.7497796675801824
RCC25-434	3.3290973268804636	2.215610786487393	4.170305965494866	1.6497098923149829
RCC25-351	2.7264208054695844	2.652332934017318	3.876091051776221	3.1444404355662345
RCC25-556	2.563268057863633	3.083274451511888	0.387269532262277	3.2243273859580497
RCC25-37	2.1450940123670748	1.6841801443872118	2.1814930481652697	1.3022327378033987
RCC25-297	2.2204287469287705	2.4001499906682424	4.493707422867989	3.6662877043283597
RCC25-32	2.208157694592026	1.9626405808876626	4.006561153941636	2.9524821178306953
RCC25-706	1.6247135605126997	2.7424129874626946	3.609877089435473	4.107319500677072
RCC25-78	1.0345213785677192	1.7111922944676061	2.741186192871925	3.0403375283874166
RCC25-899	4.6344661895223265	5.550486569791961	6.162792679736796	6.871158149171397
RCC25-441	2.7795802784134183	1.7934916831870833	3.066890485979204	0.7071329275169772
RCC25-788	0.8797687503622548	1.9499067054418677	2.8459006816488577	3.1508662491364956
RCC25-1041	2.1521470475411224	2.546856523486618	3.8837090375560916	3.8328969194024873
RCC25-371	1.0594685290752197	1.4542022345608863	1.9009831284371908	2.184235904905378
RCC25-57	1.2286172504518498	2.2180639045679187	2.2706828444957328	3.1905987272829806
RCC25-344	3.103069811570716	2.332497108778381	2.5683706297877262	1.562457309025074
RCC25-887	0.9925792258704913	0.7106226377423313	2.6459842078245583	1.7936634270930258
RCC25-112	5.502592592405173	6.332118680089398	4.449692275716489	6.703099396009607
RCC25-213	5.202029515304664	4.465076454070376	4.95288995036854	4.00230248838794
RCC25-362	2.1859868927437094	2.008998160323761	2.2149229694113903	2.2411439243245597
RCC25-1061	0.8856987273549907	0.5982515529750871	2.6455387718130305	1.8291819945730958
RCC25-992	0.9508963996488484	0.9574714697042914	2.2851886552611527	2.091696573048819
RCC25-84	0.5086362095477862	1.3697919603918733	2.220277386213783	2.587544631164537
RCC25-859	4.427263797407046	4.258242469737968	5.344620702844122	5.044223562114227
RCC25-995	3.705418241961355	3.494823531846577	2.1151279703130403	2.7644543990514974
RCC25-940	0.29017121126812795	1.5062785045879432	2.3086254077890485	2.7264128220267314
RCC25-619	2.8738493970310035	3.4526096969856117	3.0161986519525383	3.8044505746293966
RCC25-137	1.6578754291735212	1.1754554668314248	2.902177996032585	2.0696614984269712
RCC25-562	3.082655166789456	1.9687210093113316	3.2551633939713684	1.0019461735755884
RCC25-737	1.3971372413001848	2.1310093100437095	3.3854813447042718	3.2802859238241964
RCC25-578	1.2437374874185188	1.6728564282285467	1.5955637373666924	2.1818279881016176
RCC25-116	1.3493232273891398	1.141925812665095	1.8410056236517602	1.6087757812019996
RCC25-882	2.468857275615821	1.9938907861351103	3.6526471703765715	2.076354984401152
RCC25-1062	0.7897142899617491	1.4818098420171375	2.8900238221369907	2.7190348929361265
RCC25-793	1.1882829814734959	1.197155253606836	2.376061122886604	2.1351804415239632
RCC25-476	1.3426716466531121	0.7368177395275414	2.651196395582414	1.6971413721021325
RCC25-987	1.927996818692031	1.433852681729093	2.433311269731466	1.7453841147873104
RCC25-1016	0.6953410190431412	1.848293820841013	2.6989821988528417	3.073444947915871
RCC25-602	3.9313335372156417	3.1377337241784464	5.304904805527981	3.0146965760626125
RCC25-321	2.797523428119402	1.778044180869776	3.1637171827700796	1.1880792484992795
RCC25-138	0.709945451769143	1.794242484562406	2.656985061230456	2.9610987673267655
RCC25-522	1.6667012473694038	1.5824963920053279	1.6379014728535974	1.878193978582656
RCC25-791	2.010340140886075	1.7622279584420066	1.387386627137964	1.571752499548375
