row_id	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value
TBK1	-8.94	-6.46	-2.54	0.12	-6.7	0.3	0.794645058575626	-2.56799713995896	-1.67208277871207	1.82930453281826	-1.17005210752954	-0.467279389996098	1.09810189036384	-2.5199	-1.6138	1.18894833039321	-0.336995887858177
AGO2	-3.35	-8.04	-2.57	-2.8	-0.56	2.85	1.18504412790781	-1.38696642850138	-1.67885657218208	1.76557009995097	1.31936235719292	-2.07673526377728	-2.30694296316193	-2.1027	-0.66896	-2.84329301842289	-2.08895249123393
ATG10	-14.79	-11.64	-3.11	-1	-3.74	-0.49	-1.04479008151192	-2.44219646031119	-1.93748569778962	-0.795779859633276	-0.935287801726196	-1.80270854177577	-3.37282212644227	1.1244	0.2946	-0.333257390754511	-1.08943977360593
RNF31	-2.97	-3.71	-2.73	-0.68	-8.2	0.45	-0.798948973727131	-1.00632345767092	-2.68421655202233	-0.445968500032167	-2.65062075812521	-0.751087496679482	-1.76502240671915	-3.2406	-1.9971	1.85483354620979	-1.231168099065
UBE2N	-2.81	-2.43	-4.9	NA	-8.54	NA	-2.20275530386075	-0.248251269835574	-3.27642561910519	-1.80860751601775	-0.890718886514953	-1.59265325272898	-1.83625467361324	-0.13588	-0.54866	-2.41318478327854	-2.45017197121113
CHMP3	-2.19	-3.07	-2.95	-1.04	-2.41	1.33	-2.34745019666375	-0.249673310208192	-1.19001626320946	0.997462638745321	-2.09225176584397	-2.13791059720231	0.677103954585851	-0.96579	0.41471	-2.96108230895892	-2.70458388389246
TRAF2	-11.23	-6.4	-0.14	-2.18	-5.65	-1.16	0.142709010767839	2.25886152432415	0.171844220080247	0.0936338743162688	-1.52448340198218	-2.78757597881618	-1.37446941203167	-1.3037	-5.1447	-0.70997441840065	-1.34569778814967
SCAF4	-8.24	-4.74	-1.02	-2.66	-3.68	0.06	-2.34691446108586	0.0752698620998299	-2.10522186300467	-0.129224513328026	0.244117266871046	-1.57398896762455	-1.80782333972676	0.05313	-0.16689	-3.21394664284782	1.34013948863953
STUB1	-6.73	0.25	-1.88	-2.67	-7.75	-0.03	0.227133417014504	-1.0991560620925	-1.08036427023588	-3.18857482804	1.32898778456214	-0.78840473851513	1.12144145193586	-0.2716	-1.5835	-3.02969600729933	-2.65869474673461
BCL2L1	-5.26	-11.3	1.59	-0.96	-9.4	NA	0.737135422092663	-1.9328555088617	0.768045758720726	0.409244827650716	-2.51408992483685	-2.14553620379941	-0.873849902668241	-0.14079	-0.59421	-2.68465826332113	-1.87274214910624
PSMG1	-5.04	-1.39	-2.77	1.58	-2.59	-1.4	1.08907684468721	-0.561935449333436	-1.89205239636293	0.503916578528402	-1.32406939131283	-1.79926988116012	0.94374494598634	-1.0033	-1.0311	0.300940324857477	-0.469965032952813
EPG5	-4.14	-4.53	-3.07	0.15	-2.07	0.76	-1.8698546850303	-2.92746274518014	-1.77429722105653	0.849289899132416	0.304404158506923	0.371292075018046	-3.14433281381139	-0.33425	-0.63225	0.136811238676124	1.98387299591089
ITGB5	-2.78	-2.1	-4.73	0.69	-3.02	0.29	-0.161524901880219	1.73655357530017	0.475992108531888	0.162083626321475	-2.65184197207478	-1.78312474002101	-2.02810042068238	-0.97317	-1.4247	1.78030536255193	-1.16336855972749
