SAMPLE	C0	C1	C2
X00936b9285d6b8665ae9122993fb8e91	2499.78729863347	4098.82983434479	3313.82388650414
X105622fadc33f23755ac2df823110aca	2652.83061011855	4852.02419579703	2279.46599170091
Xe44f39747a8e84b02b4cb24659312144	1637.57778794307	4560.88967618096	3609.22714603826
X293dd1284496215e9a0eca9f17a98e7e	2017.51067256348	4405.22776334923	3422.69072489661
X01ed7190ce00862696edbf047b542045	2219.12634779346	4882.84375330225	2665.07528990278
Xf4a6a5a1450a8448882e1c0aebc0eea5	5349.32916921631	2825.65636985763	2039.03468009482
Xf7ee4a331a8fd70edc240dff978c170d	1481.64657700623	5365.3377923434	2815.13645980509
Xcddbd4d01bc7513298a5135e97cfdb6b	4815.49036733734	1298.22327385176	4354.01473170418
Xa57451efa2822becb256706fe939d078	3167.51467700843	4134.29393129776	2622.66489675897
Xff8fbe2fe76c82d429d4fa1d315f3b93	1722.05393202835	4262.06542252808	3878.3770276879
Xf9ad54895d67b651806deab25643ea6e	4799.13345969868	3189.01581487845	2146.99568077958
X83864118183d6d44a78a1dcfd50420de	1984.41383402241	4292.79675583829	3587.06298231654
X270eb069e858ab11185487082313a8ba	2914.0784909449	5037.58044673745	1807.21213696309
X47156c2ebd5ab6bc3498b6dfb70e9de1	7537.13951726129	803.328821479214	2288.6291523644
X33fe25b1ae7fa2d13b0cebf465cda997	1079.61027732814	5934.98200135213	2536.46947105537
X97b6866aa994b9796e91aef65c9aa00a	5747.85854814352	2829.25432131842	1647.17496667848
X5698d14afa59bd77bef894d49d33c6d2	2565.57424885127	4701.55109383551	2541.24108638485
X3bb0665c45e2decbd5439bf13b7cd0ad	3538.94507652789	3200.73385738907	3358.94194433156
X2d6a79464a71daaa1047f0a261d5eb07	5957.97097512066	1831.1078458958	2616.28962934743
X97d1afa809fb0c655921c0ca2b2f9d64	4274.18450547689	3826.22042244859	1908.4516923187
X5f3b11e482ba5ccba88a68c876d2bd7f	5286.13066031754	3022.53442700215	1869.04313419108
X832e10f63e678f47e1ca9df1eed387d4	3447.94449306549	2687.99448983164	4050.26070946338
X441f1fa08e92bc869755da2f1d547f92	3774.27209555794	3772.26718472763	2458.12232913098
X193d13fc662c7a4c86416d856d767d0e	1244.15069128406	4718.01862357018	3807.16398406117
