row_id	Combined.Q.value	Q.value.Significant.Count	Combined.P.value	P.value.Significant.Count	P.value.Significant..Up..Count	P.value.Significant..Down..Count	Mean.Statistic	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value	RENCA.CTL.LAWSON..Gene...log.P.value.	EMT6.CTL.LAWSON..Gene...log.P.value.	B16.CTL.LAWSON..Gene...log.P.value.	X4T1.CTL.LAWSON..Gene...log.P.value.	CT26.CTL.LAWSON..Gene...log.P.value.	MC38.CTL.LAWSON..Gene...log.P.value.	B16.CTL.KEARNEY..Gene...log.P.value.	MC38.CTL.KEARNEY..Gene...log.P.value.	B16.CTL.PRFKO.KEARNEY..Gene...log.P.value.	MDAMB231.CART.HER2.KEARNEY..Gene...log.P.value.	MC38.NK.KEARNEY..Gene...log.P.value.	MC38.CTL.PD1.KEARNEY..Gene...log.P.value.	MC38.CTL.IgG.KEARNEY..Gene...log.P.value.	MART1.CTL.LIBA.VRED..Gene...log.P.value.	MART1.CTL.LIBB.VRED..Gene...log.P.value.	K562.NK1_1.PECH..Gene...log.P.value.	K562.NK2_5.PECH..Gene...log.P.value.
ERP44	1	4	3.00540423214104e-22	5	4	1	2.0408922162209	9.65	6.16	0.49	8.75	11.64	0.69	0.235062788515282	-1.26519900239286	-1.09791868068543	-0.627456563943318	-2.68175990725497	0.503603546346667	0.77080925616896	-0.38166	-0.97579	1.17738969763675	1.65808654136425	21.226347008366	8.96289852823815	0.217506404146465	17.8638531141417	30.7180410436278	0.671096209997224	0.0738858229874798	0.807001179237284	0.860815149524894	0.0718582547769728	1.93663249115218	0.103343344513065	0.239955138733781	0.290094330959596	0.580639130278716	0.402712889535465	1.10708969667366
FAS	1	3	4.05619210699542e-08	4	4	0	1.77954731946053	9.05	4.43	-0.16	3.55	0.21	2.22	2.08404581570503	-1.29877254314631	1.69828491732974	0.699723496127198	1.83001296615744	0.526299687671171	0.622367873801683	1.7081	-1.1351	2.13257020087767	2.08477201630542	18.7003137923951	4.86220098115375	0.0316530290333172	3.66894113327257	0.102099693413342	2.31032570872583	0.617056215227781	0.807001179237284	0.641201204054211	0.3444125050064	0.352060415548761	0.132645790925057	0.145606234452116	0.963530801084537	0.348353767360187	0.93501479845734	0.947297826656001
ICAM1	1	2	6.08173759410875e-06	4	4	0	1.95083587643184	7.16	-0.12	0.81	0.35	0.99	0.11	2.36606680535329	-0.28949840537793	1.65821538766153	0.313369438883806	-0.978433431863372	0.700620310143097	1.98129679145734	2.0997	1.7916	6.53268690087164	7.68858610221182	11.9371153717102	0.148481319349649	0.371399554810819	0.071472038030235	0.470003009257606	0.436927538194187	0.617056215227781	0.0768346086336623	0.641201204054211	0.3444125050064	0.483557925667491	0.21342750457902	0.666608178638381	4.16509630904892	2.33605420533642	6.51924137211628	0.0457574905606751
UBE2G2	0.966878651964929	4	1.71695594776374e-07	5	4	1	0.921924657098415	6.7	4.57	-0.03	6.38	3.94	NA	-1.87028681145585	0.614083728531789	-0.61641599401556	0.282395845800869	-0.555694086249088	-1.44818256251686	-0.766363574800876	0.71452	0.3383	-1.94692272271616	-0.632714651905204	10.5022855348866	5.13267976964908	0.0153260219460934	9.94044241733312	3.91277590595241	NA	0.869523590209719	0.315775836293648	0.446738258965059	0.3444125050064	0.0133981022445509	0.656879007707911	0.0841045579902851	0.734451100879675	0.193521551148788	0.74154229282971	1.8482529020371
KDELR2	0.999551244015359	2	1.25284129777018e-06	6	4	2	0.0919506025813371	6.29	1.46	-1.42	3.45	-0.41	1.36	-0.441266604225896	-0.79505759503757	-1.43075654920783	-2.2078031270275	1.78273162946789	-1.16603572931576	-1.41432670323045	-0.85822	-1.8872	-1.14198561280051	0.393080535260355	9.35158381944171	0.858408650747808	0.828262909686834	3.50067521172884	0.176341952313482	1.48197997360295	0.206046512664983	0.0768346086336623	1.10369892124928	1.40148618323503	0.352060415548761	0.425827225454729	0.373436308895515	0.503305543184699	1.64460595537683	0.155326012871689	1.47788530554022
KAT7	1	2	1.26974962379475e-05	4	4	0	0.382207498538515	5.75	-1.76	-0.43	3.77	-1.89	0.19	-0.198850105537649	-1.41276783027705	-0.759990940772626	-1.59428596390693	1.7477114796358	-0.861759274408657	-1.12980120584772	1.542	0.69971	1.68584322364046	1.14971809262912	7.89462808874255	1.01123305771374	0.143977387333961	4.02197756877423	1.20714232588152	0.451621426925199	0.17372141935166	0.807001179237284	0.540907278146368	0.80015809999461	0.352060415548761	0.114438919616569	0.201498689183179	1.61697497906372	0.243014163146636	0.631938140972442	1.34218361151071
SEL1L	0.99988358684682	2	2.65189535348224e-06	5	4	1	0.822372639728853	5.54	-1.46	-0.34	3.66	2.84	1.87	-0.489030646750193	1.42209043212232	-1.150203657902	0.749958001156311	-1.33436580807448	0.958640266593211	-0.719131338264208	0.79285	1.1241	1.26861054911749	-0.753182922607951	7.3798942457892	0.774464196877755	0.105834413428212	3.8417873375151	2.23177792501556	1.93957192745785	0.206046512664983	0.315775836293648	0.895236796021852	0.3444125050064	0.483557925667491	0.21342750457902	0.0756037971750687	0.540049922566159	1.15849036721486	0.433861455756928	1.94627365504295
ELOF1	0.999617508928867	2	5.16383519808264e-06	6	4	2	0.373872387452598	5.32	3.76	-1.78	-0.21	2.51	-0.36	-0.489030646750193	2.34347973645685	-0.120205955727163	0.50984508073931	-2.38064836666945	-0.776218473988368	-1.38502769196733	1.684	0.38667	-1.3324998217395	-1.32453327365999	6.86276889027127	3.65488281276873	1.14302667637744	0.16027228280241	1.84994624042167	0.638697528375561	0.206046512664983	0.315775836293648	0.0892725763237164	0.3444125050064	1.46374536165189	0.083426253816975	0.359136056314335	2.70485090342108	0.474890377728066	0.192247538333768	2.4429793075908
AP2M1	1	1	0.00188875375835144	4	4	0	0.965332065857107	5.18	0.56	-1.85	1.9	0.85	-2.03	-0.442427338016953	-0.401135996294714	0.494971837664036	0.867843523272636	0.113290813646943	1.74297489605426	1.89769706068308	0.2715	2.1058	2.81934343727822	2.33078688528332	6.50700434854649	0.104015301028149	1.19700431528132	1.46117857222251	0.380780700792931	1.03806517582471	0.0738858229874798	0.0768346086336623	0.0892725763237164	0.3444125050064	0.15568926003661	0.468920142823097	0.666608178638381	0.349653615565912	1.67015483448913	1.31468628649351	0.870136528998874
NDUFV1	1	1	0.00328728446117479	4	4	0	1.08441143828565	5.11	0.94	2.54	-0.41	1.02	0.97	NA	NA	NA	4.10632716427401	NA	NA	NA	-0.63128	0.90834	2.20565735415127	1.67594993243074	6.35976078644035	0.401674397960803	1.98462610748038	0.239084717534087	0.503227803268141	0.92168179367357	NA	NA	NA	3.02815238441702	NA	NA	NA	1.26652988139323	2.26381870610069	0.955066835903816	1.10001552315609
