row_id	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value
ERP44	9.65	6.16	0.49	8.75	11.64	0.69	0.235062788515282	-1.26519900239286	-1.09791868068543	-0.627456563943318	-2.68175990725497	0.503603546346667	0.77080925616896	-0.38166	-0.97579	1.17738969763675	1.65808654136425
FAS	9.05	4.43	-0.16	3.55	0.21	2.22	2.08404581570503	-1.29877254314631	1.69828491732974	0.699723496127198	1.83001296615744	0.526299687671171	0.622367873801683	1.7081	-1.1351	2.13257020087767	2.08477201630542
ICAM1	7.16	-0.12	0.81	0.35	0.99	0.11	2.36606680535329	-0.28949840537793	1.65821538766153	0.313369438883806	-0.978433431863372	0.700620310143097	1.98129679145734	2.0997	1.7916	6.53268690087164	7.68858610221182
UBE2G2	6.7	4.57	-0.03	6.38	3.94	NA	-1.87028681145585	0.614083728531789	-0.61641599401556	0.282395845800869	-0.555694086249088	-1.44818256251686	-0.766363574800876	0.71452	0.3383	-1.94692272271616	-0.632714651905204
KDELR2	6.29	1.46	-1.42	3.45	-0.41	1.36	-0.441266604225896	-0.79505759503757	-1.43075654920783	-2.2078031270275	1.78273162946789	-1.16603572931576	-1.41432670323045	-0.85822	-1.8872	-1.14198561280051	0.393080535260355
KAT7	5.75	-1.76	-0.43	3.77	-1.89	0.19	-0.198850105537649	-1.41276783027705	-0.759990940772626	-1.59428596390693	1.7477114796358	-0.861759274408657	-1.12980120584772	1.542	0.69971	1.68584322364046	1.14971809262912
SEL1L	5.54	-1.46	-0.34	3.66	2.84	1.87	-0.489030646750193	1.42209043212232	-1.150203657902	0.749958001156311	-1.33436580807448	0.958640266593211	-0.719131338264208	0.79285	1.1241	1.26861054911749	-0.753182922607951
ELOF1	5.32	3.76	-1.78	-0.21	2.51	-0.36	-0.489030646750193	2.34347973645685	-0.120205955727163	0.50984508073931	-2.38064836666945	-0.776218473988368	-1.38502769196733	1.684	0.38667	-1.3324998217395	-1.32453327365999
AP2M1	5.18	0.56	-1.85	1.9	0.85	-2.03	-0.442427338016953	-0.401135996294714	0.494971837664036	0.867843523272636	0.113290813646943	1.74297489605426	1.89769706068308	0.2715	2.1058	2.81934343727822	2.33078688528332
NDUFV1	5.11	0.94	2.54	-0.41	1.02	0.97	NA	NA	NA	4.10632716427401	NA	NA	NA	-0.63128	0.90834	2.20565735415127	1.67594993243074
PRKCSH	4.86	3.13	1.96	1.41	4.39	-0.53	-1.52743048808531	-0.606715099165684	-0.267323622822602	-2.66749951257978	-2.2490706738211	-0.0660977527330111	2.100760448475	3.0217	1.4234	-1.18991449684826	-1.56043973936549
SMG7	4.35	4.17	-0.9	-2.01	-2.56	3.48	-1.68903877223289	3.28369427794279	-1.86039260623623	-0.898348093514753	2.09155881466919	1.36087878151635	2.44943130508938	-0.15197	-1.1204	-2.26992720774604	-2.73899132260336
PSME1	4.15	1.73	-0.31	2.21	4.73	2.38	2.08054033525224	2.0970629861961	0.274370384219893	-1.00624028054287	1.21643305093957	2.04826541336683	0.655074172407777	1.1789	1.3263	2.00360863635427	2.05777226120196
OTUD5	-4.05	2.69	-3.71	3.33	4.17	-0.54	1.44100949624028	-0.974113877059309	-0.946840619403299	-0.186490663344713	1.73270564877783	2.1272176896281	-0.976210824903904	1.5245	1.0638	-0.933193635948246	-1.62148343384563
LENG8	3.9	1.98	0.96	-1.49	-0.18	1.75	NA	NA	NA	-2.26027804033808	NA	NA	NA	-0.40717	0.70168	-0.643252919805435	0.693270201030247
