Name	Score	0.95 MoE	p-value	FDR
dabrafenib	-0.5258181249660471			
linsitinib	-0.5062763861013205			
sotrastaurin	-0.48509241016997295			
skepinone-L	-0.43315293784756426			
BRD-K28456706	-0.43311677905930307			
BRD-M00053801	-0.4315574245491082			
LBH-589	-0.43008180363909154			
belinostat	-0.4276887081581555			
serdemetan	-0.42692208706206597			
16-beta-bromoandrosterone	-0.4260415049298687			
MLN2480	-0.42355249321669325			
tubastatin A	-0.41740385612908143			
PLX-4720	-0.4161533146270104			
avrainvillamide	-0.41505328700377714			
PX-12	-0.4108481839368726			
BMS-754807	-0.4079208448362922			
epigallocatechin-3-monogallate	-0.3957285170682947			
PD318088	-0.3947758320325882			
ML050	-0.39408303578519843			
BRD-K42260513	-0.39377312406893866			
chlorambucil	-0.39164665477972327			
Compound 23 citrate	-0.39077424488033924			
BRD-K24690302	-0.3901646930261912			
BRD-K29313308	-0.38978419563610295			
BRD-A94377914	-0.38952503918545495			
Repligen 136	-0.38939237075878835			
BRD-K88742110	-0.3889931938602206			
NVP-ADW742	-0.3883694782265347			
PF-4800567 hydrochloride	-0.3864190912666243			
BRD-K99006945	-0.3860288353560556			
BIX-01294	-0.38590541487995644			
RITA	-0.38520411857823084			
MI-2	-0.38516526012501695			
vorinostat	-0.3851247415791496			
FSC231	-0.3844913246080013			
tacedinaline	-0.37965213352188265			
cytarabine hydrochloride	-0.3783052577157504			
BRD-K26531177	-0.37791791209233344			
indisulam	-0.3777184272533438			
isoliquiritigenin	-0.37708978749643873			
alisertib	-0.37632446894897015			
SCH-529074	-0.37329186246040774			
GDC-0879	-0.3728487159534236			
NSC19630	-0.37243276951602994			
BRD-K92856060	-0.3695795878937686			
barasertib	-0.3695334031927033			
BRD-K51490254	-0.3693180744395345			
ABT-737	-0.3691242664710878			
RG-108	-0.36810569276325833			
selumetinib	-0.36760580847611973			
necrostatin-7	-0.36759654652897356			
austocystin D	-0.3660757283575693			
trifluoperazine	-0.3660741699354788			
Compound 7d-cis	-0.36605476820001137			
compound 1B	-0.36600331303550254			
BRD1812	-0.36517796334540226			
tamoxifen	-0.36503533144274936			
BRD-A71883111	-0.36363103709497085			
BMS-195614	-0.36354766216140155			
fingolimod	-0.3634128842922909			
BRD-K45681478	-0.36212803066637816			
RO4929097	-0.36032851282282674			
tretinoin	-0.35936843012950265			
tipifarnib-P1	-0.35933436917318334			
BRD-K02251932	-0.3590477399067398			
PRIMA-1	-0.3568858622941249			
bafilomycin A1	-0.35427318065506425			
prochlorperazine	-0.3510354573226292			
PDMP	-0.35036818858000157			
elocalcitol	-0.34971852188430363			
BRD-K90370028	-0.34964366870726193			
ML029	-0.3489419685332176			
nilotinib	-0.34855595847816356			
BRD-K19103580	-0.3482664849268105			
nutlin-3	-0.3477613020451234			
NVP-TAE684	-0.34745139454756235			
BRD-K51831558	-0.34628819194424737			
BRD-K80183349	-0.34612530225537047			
ML203	-0.3450750881539466			
crizotinib	-0.3444793131237918			
BRD-K61166597	-0.34399867937639306			
neuronal differentiation inducer III	-0.34314132077373943			
trametinib	-0.34260242017514464			
L-685458	-0.34210296873783774			
MK-2206	-0.34187370152357505			
