Name	Score	0.95 MoE	p-value	FDR
MAF1	-0.5556245338719416			
STRN4	-0.5512613921821379			
FRAT1	-0.5449118609695213			
XRCC6	-0.5188326835626647			
TAF1D	-0.5161832553571808			
PDCD10	-0.5095700932500392			
FUNDC2	-0.5094919103635109			
ZNF500	-0.49080407599050657			
METTL21B	-0.4892014707282016			
SLC35F6	-0.48866309085114695			
MRPL36	-0.484929307921308			
PCBD2	-0.4738718424202383			
PLEKHA1	-0.47303483027698057			
ERICH6B	-0.4714984137809871			
FOXA1	-0.4708882607470736			
CAB39	-0.46945325864615856			
ASZ1	-0.46651837140314656			
DCAF7	-0.46096310508373206			
CCDC144NL	-0.459602325104438			
ZNF595	-0.45922409771138606			
CCDC172	-0.45762259686828843			
MEIOB	-0.4539659808905134			
ZNF250	-0.4471220477477379			
LCN15	-0.4447546930224793			
MRPS23	-0.444566139949411			
RING1	-0.44426111191523315			
OR2F2	-0.4436924186605941			
GFRA4	-0.44139595624855715			
RASSF4	-0.4394935259516251			
LRRC8C	-0.43803881145710305			
ZNF559-ZNF177	-0.4357854054523608			
ZNF177	-0.4357854054523608			
GSE1	-0.4355544679421391			
PIGF	-0.4352208220565559			
AMOTL2	-0.4326641282255546			
MAB21L3	-0.4305333103673604			
SATB2	-0.4298970997217863			
HSPA13	-0.42981774390327293			
FGF5	-0.42892539028562227			
CTNNB1	-0.4288297828568447			
BTNL2	-0.428755458856664			
ARPIN	-0.4285111310381458			
CIC	-0.42750649115426487			
OTUD4	-0.42601431776453924			
SLC16A13	-0.4257665021583612			
DMKN	-0.4250571032048223			
PPP4C	-0.4244284158597665			
KBTBD6	-0.4234666677505187			
MRPL28	-0.4222492014915305			
COX4I1	-0.42181819424185035			
PPP2R4	-0.42134767839242104			
FRA10AC1	-0.42013222791713456			
INPP5E	-0.4201189080532354			
PSMB6	-0.4170961732573895			
ANKRD45	-0.4159314631853738			
ALKBH8	-0.4154722819305927			
BTBD10	-0.41383108982030936			
PDCD7	-0.41370854302988097			
KMT2C	-0.4126366750818842			
C9orf152	-0.41250230080003814			
AP1G2	-0.41210384250418924			
C7orf60	-0.41088842585254176			
HSPA8	-0.4097895107438768			
RBMS1	-0.40785183439743816			
WDR91	-0.4075203528681928			
PPP1R15B	-0.4073410609501906			
HSFX1	-0.4066628698323576			
HSFX2	-0.4066628698323576			
SNCB	-0.4057008425540443			
UROC1	-0.4053355528179645			
KDM1A	-0.4050223598241446			
TFCP2L1	-0.4046132602375197			
EP400	-0.4043554545079031			
MRPL40	-0.4042182031734019			
OGDH	-0.4041356811977825			
ATP8A2	-0.4041334857177539			
