	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value
C0	6.187062731132956e-17	412.6676790986846	3672.5726101539703	2.528618399662003e-11	1889.374127241111	5.821875968216513e-17	1099.5025938175302	637.7871491508325	6682.421795395596	4.6190188708979695e-06	2.3880715839123824e-06	2.3462599811677296e-10	8.618006184560215	3.1759210548760727e-17	1.2462317034197566e-15	0.025941235551512	1065.4319353511694
C1	5.831556320631361e-17	4.127406988265627e-13	2.4944329406751678e-17	449.8289724098979	4.998291662742267e-16	0.0614710689740481	272.48616832962034	8.069868774592078e-12	3010.1963642910255	0.045040313848452876	4975.6783270603655	6.16659480439003e-09	0.0392737058974677	4918.061400060576	6.297242391842637e-16	959.8630842587216	4.976772598391589
C2	1.3193317115029806e-12	6.396843139556525e-09	3314.472032672264	3163.333930485363	0.04230595580845128	7239.436911129027	9.679343973310746e-10	4.480661694182894e-17	3.175330294384104e-13	2640.91410478269	76.38678102679688	2.012744041224729e-07	6.209380812252376e-08	9.259474074336011e-17	1.5800565774720496e-15	560.1995411798961	0.0028830948290051706
C3	4.151243744219268e-17	1548.953624060005	1.6238277498057994e-06	2.520719893659306e-12	1.1151518361274644e-10	8.661867596872414e-15	1369.0701105343	9.197041754216289e-09	5.879244922389669e-07	1.4285183458654363e-07	9.416412591360836e-11	7107.673123848855	6160.975865003086	2.5422059617066213e-14	7.38088142924757e-10	0.0004722217115948907	103.87385004969971
C4	1.0467217327418693e-16	4.004586714751039e-05	4.1618901485461205e-17	3.714285295179646e-08	560.912261756717	1.827338392237221e-16	0.0001341290037921299	2633.951284537024	3.0678490369864355	8931.121548348758	2.7009495141893148e-15	482.3249029468728	3.207614249473929e-12	0.02653135143663804	4226.963548955352	6.364352488283879e-07	491.97575146825545
C5	0.001531390775206263	1.4948582813927944e-16	4.584520522372013e-17	0.0038224438809908055	196.0679868247164	3.9872410022884406e-11	3.502891903031123e-07	1.1965677548942073e-05	2.0614708109417044	7.014790297504906e-07	1.7627071766945777e-12	6.206404164251241e-13	287.9015639496426	5.1172301416926055e-17	0.006200415478951519	9042.422783733684	9137.279677022423
C6	0.0005558916415944501	4.796802483584887e-17	3241.9902628558416	9.555408473001827e-09	821.3368261932567	5.598686721032299	39.472819737606606	1.969431689505865e-06	4.029563513281272e-17	4.4957108866762154e-17	0.013126916743227652	2.735136215607262e-07	885.0390003816177	4298.283432044788	6918.775459216116	0.024676750554971087	0.002280541261298179
C7	4695.762427487584	1.0278495281768888e-13	1.8369903542381253e-12	3499.0193722338327	4.8173894486873034e-17	3.7069314057737013	7573.954688971723	2067.699302891965	179.90120195835044	6.368973108195897e-17	2.279695758148983e-10	1331.1688289988565	3.712943992703322e-08	4.365331290754018e-13	0.04979740499062163	340.5439764770145	11.060528243293835
C8	1653.7811855702348	2631.2172919134778	9.275677523414152e-12	3.093394130066957e-17	435.23207393593776	3039.3931949918842	6.124474185369439e-17	4733.704031413131	6.589968622350454	6.164721764788794e-17	4684.781010789718	0.3838914226735535	1756.6327731696201	2.655808826935733e-17	3.284226255695921e-05	2.6659822226077737e-05	0.004581205739770379
C9	3321.846969126981	4301.584665598667	6.382530753416012e-15	3167.8122003932913	5399.566206611486	7.594871096881193e-17	1.3387706528386464e-07	5.780329834754789e-17	4.686874979618536e-17	116.77947845726993	0.0005761776542295387	300.97235893074975	4.467852456738514e-16	1100.3402865798748	4.888656454072753e-15	0.00010747425630397325	4.766388500502798e-11
