	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9
TBK1	0.8622420725522161	0.8693084483227783	1.076790601348606	0.7853798012828374	1.2030135281165124	0.6918291789399958	0.49209346134005333	0.12823410179732397	0.4980859527680098	0.6394216368060466
AGO2	1.2214488284638723	0.8515099429640699	0.7091568672856381	0.7416553938928142	0.783392877463342	0.9238226673079751	0.4931253919581638	0.8461349143700831	0.7978112878385397	0.8415507367462586
ATG10	0.10887864972128665	0.09482706524568651	0.2932801605615065	0.0065694694618448814	0.2156850713396188	0.07952971786973187	0.0007874077276976897	0.021479752406473877	0.0004357534346691542	0.13527687425898932
RNF31	1.0585830191892356	0.43222007147946406	0.4336388624013422	0.9960227293668006	0.37775487641357286	0.6083933089461768	0.37213423361634934	1.1920135944335226	0.6877019259034868	0.6549641658014064
UBE2N	0.48397103030924343	0.7779123857754263	1.122439087118935	0.7078855834088886	1.2611425713131492	1.087167277058734	0.6950986608992744	0.3374230121299441	0.2502381831028644	0.7612432588633338
CHMP3	0.012901311046130128	0.006528903500962906	0.06448521307216329	0.04212681277703349	0.006622109172015944	0.055935781927583465	0.03922775374776193	0.09324813472319424	0.028646983791307104	0.038785712079064665
TRAF2	0.6085729099583658	0.7257686880824944	0.3069529368689942	0.8898403509693612	0.03042071246539822	0.03177721809858248	0.3081105078135866	0.7699176678250418	0.7957913774953169	0.7063396379770813
SCAF4	0.7861008629820282	0.5413099043828437	0.8976296157642484	0.6415657533757024	0.558376342315547	0.6493427078295269	0.5352370150145337	0.47137396995986064	0.5642400006973224	0.5495718606799451
STUB1	0.8580578330992121	0.6541971651758579	0.7704424062148575	0.8190604426913138	0.7531245865449491	0.868075654800689	0.9065144160583735	1.1091747250682524	0.75293873365158	1.245698825416712
BCL2L1	0.8656541131507756	0.619052436044605	0.9362841772183501	1.0134370574544298	0.9536171015559195	0.7645232799357405	0.9016641909333339	0.8047072964009955	0.73743342871911	1.1468328097491243
PSMG1	0.0015645664423025191	0.41217245741053454	0.5973940769475997	0.08285461615905779	0.6125195703044551	0.39638103405504443	0.5469673493529363	0.22745799903546873	0.0017780173597771833	0.01623680385888742
EPG5	0.9765852041995654	0.2324802290319009	0.9443503805914775	0.5500710916604425	0.5272720741107446	0.2576272877206613	0.1813420056432518	0.8636112774470005	0.20685380145091473	0.12292021704386896
ITGB5	1.0235761130533259	0.710223042161232	0.018877431244389033	0.33776753173308405	0.9721970268020305	1.416311488450148	0.19347811127727477	0.521143085158393	0.7409431526471993	1.2154172382864634
DICER1	1.2228098678180404	0.5931748099192318	1.3544147911031679	0.872772793007934	0.8446299635785105	0.9758858476890213	0.32816174098062834	0.7650150500656216	0.4668129847709363	0.27789444758036674
MCL1	1.0380609358795951	0.874615218158859	1.130106603061908	1.0209897556243321	0.9656652727353618	1.0898182369284615	0.8380281124885912	0.866804963055953	0.7979086385765387	1.11135428907631
XYLT2	0.9885587672302253	0.8206880681738132	0.17587423126085094	0.5395602602649128	0.5347478543326769	0.49021835229301575	0.48971553283377633	0.8722028632504722	0.8284312547557894	1.3293244137852835
IPPK	0.18914698799244342	0.1290740570417043	0.20257801214679635	0.21227581743538665	0.0409346006941068	0.20149506462199912	0.11873467869014666	0.3259000485650287	0.19679476626314452	8.21737182290955e-05
PCBP2	0.9796532030957769	0.7674301060493638	1.0962118127752702	0.9106297138895421	1.1219503410338727	1.0437081462258866	0.8357743349335706	0.9083045098719524	0.7087192104941051	1.1459060857766479
PTPN2	0.6979436111952549	0.546954383061226	0.8607569489023457	0.7655678689640661	0.6149379817249948	0.45216270062172714	0.34700444728206165	0.0006109864752961516	0.42851382599288196	0.0007672937857333546
VPS13A	1.2966778439584146	0.541715438846736	1.5883127340183525	0.7074273655763762	1.1536970659846566	0.5076832579151066	0.22521195605530733	0.6624033423216875	0.5004066546131667	0.7287278164805938
FITM2	0.3391174266980552	1.25902295557104e-06	0.0038881777503612337	5.522707798447802e-07	0.7110068324550564	0.2166821885018472	0.3969163293016351	0.7365121131771537	0.30205840368506737	0.8876499279356763
IKBKG	0.13187893466063114	0.044449500216590866	9.329198890525253e-06	0.17480388569774555	0.02866778279877428	0.10776869235460934	0.05112855141589127	0.31715205769313926	0.17518043291187513	0.07563265628328189
