	C0	C1
TBK1	0.5269146060081993	0.9326409144891955
AGO2	0.899050080518344	0.7226865756651616
ATG10	0.03968307810335442	0.1638001692051774
RNF31	0.9335777987671579	0.3982825143566268
UBE2N	0.4515064079348766	1.0625561433689745
CHMP3	0.04349495520941881	0.03265946275286864
TRAF2	0.7634439047479261	0.22728518205475925
SCAF4	0.5785307764210078	0.6489958901655558
STUB1	0.9465460821838266	0.7763481479403295
BCL2L1	0.8692976206452161	0.864488790118114
PSMG1	0.0793186548621816	0.4950459046869093
EPG5	0.5610499893979864	0.4141322832094745
ITGB5	0.7719581419952796	0.6607112057522659
DICER1	0.710302861582361	0.833996350197352
MCL1	0.9326457732918872	0.9989387529641579
XYLT2	0.9321773192474274	0.4549516227927842
IPPK	0.1950303406476717	0.11475182726703477
PCBP2	0.8971024602616209	0.9993925615753808
PTPN2	0.3301564697960781	0.6056806155352336
VPS13A	0.7359932556425963	0.8756192866406969
FITM2	0.4671886900842215	0.2524296287516114
IKBKG	0.18652364254278722	0.023055847796934318
RBCK1	0.9575413912333405	0.898652261398495
CFLAR	0.7949865211992247	0.7864827864627519
EMC3	0.24394642119435364	0.48987932157754815
SETD1A	0.8234433148011605	0.46888625661252165
OTULIN	0.1742782841845361	0.16644398466399557
CHIC2	0.2724149831441698	0.3959265764066245
TCEB1	0.14780988033961226	0.5273228784432498
RGP1	0.7568112881715767	0.49074255457115473
TAB2	0.7647830305058507	1.0099919248261817
TMEM208	0.46282711909370283	0.3787232136980389
IST1	0.5164542153407511	0.6485729154553485
BAP1	0.809120302134162	0.46540665505095824
UGP2	0.5277684450164372	1.0348910173608683
EMC6	0.2531935097660585	0.4531668074799952
NCSTN	0.835717748150513	0.9327132414393605
UBE2M	0.2440534842514455	0.23280977778280004
KDSR	0.3151275294135506	0.68837560491883
BIRC5	0.0751571603190863	0.1713891043296199
VPS4B	0.45473176289933415	0.6841360736565304
POLR1E	0.2620650756064974	0.4266349891636735
NPM1	0.8449416434243784	1.0649993054598408
BARD1	0.12208876957669	0.2021779184681946
GPATCH1	0.3679643530206654	0.2102829303277504
L3MBTL2	0.5837311467777264	0.20080899121744136
TFB2M	0.12337727219853646	0.2896954917490893
MRE11A	0.31858256346810043	0.5398483947790398
CENPO	0.30563986693522566	0.10566680930959649
CMAS	0.22700708597764432	0.7551344862855762
MAPKAPK2	0.7004215466631944	0.7353924970936777
SART3	0.6959614409281808	0.7532267224705359
KLF5	0.23166137157845199	0.4396025919135023
MRPL12	0.7797021507505334	0.7283914833913498
MAP3K7	0.4592604812268632	0.7100784806270722
UXS1	0.37425150962519477	0.5909836390276619
NAA35	0.29077614472206226	0.4530275551443697
RAB5C	0.7374763470447483	0.86910333401426
MRPS15	0.5262275756200622	0.7167332395762446
TSG101	0.5867741171686172	0.9750710147479783
ATG12	0.05553456691908676	0.08984436886287908
ATG3	0.2085117571927787	0.8476261092668056
ATG101	0.5275045967921945	0.5769229368945432
PSMB8	0.18759126980980034	0.1830279674282653
SOCS1	0.6219681452967156	0.4634558557069465
VDAC2	0.18519554545107902	0.5090712722870839
JMJD6	0.3884112591676358	0.2170882325954685
EI24	0.6245007460519295	1.0653178489236397
MED24	0.8028333489116158	0.3020949134294746
SAMD4A	0.495593450637531	0.1556066282422455
TMEM127	0.6953304767999179	0.6993457326086377
