	C0	C1	C2
TBK1	0.8439214138523129	0.8886478266029019	0.457296519395302
AGO2	0.6912533660430085	0.8435650271624439	0.9253599672236388
ATG10	0.09619609200979677	0.1834457718968702	0.015530878558544283
RNF31	0.4000860000289174	0.6194049349891346	1.0151744170696129
UBE2N	0.9081336075860932	0.9996355625903715	0.34998053866956774
CHMP3	0.02244375780495558	0.046274546506920484	0.045704077073507494
TRAF2	0.39723584444184973	0.28519334968566984	0.8605432604015142
SCAF4	0.5587412069481242	0.7263173770421838	0.5616060486472423
STUB1	0.7202450115396843	0.9115953638406791	0.9789780726383172
BCL2L1	0.788657724242813	0.9579359919476342	0.8732002717260785
PSMG1	0.4604653212432216	0.3764016454257648	0.018951810207921048
EPG5	0.2487303552453568	0.6444106285553235	0.5641674157032476
ITGB5	0.6323459416171685	0.7443377566545005	0.796394292849902
DICER1	0.6205537041226293	1.0189842863045113	0.6664678227100079
MCL1	0.9026576948412751	1.0907891485388173	0.9210591257564227
XYLT2	0.5429795263201875	0.5640710542138627	1.0245688330004736
IPPK	0.11622609847601865	0.14897608311607963	0.20700518486195563
PCBP2	0.8727721489994682	1.1033450836717984	0.8798861592747002
PTPN2	0.5603696231471288	0.5659965418253773	0.27839140386949246
VPS13A	0.5811007836287257	1.1295433924049436	0.6849522227897294
FITM2	0.19165030111049536	0.38581777963374303	0.5127041456462643
IKBKG	0.046671227823288135	0.06339070175784922	0.2160666976459823
RBCK1	0.877723188510761	0.9651165422547402	0.972161379349101
CFLAR	0.5755347465447167	1.0144611420723493	0.7768984377437255
EMC3	0.41879806987814966	0.4726036675970438	0.20504388028520937
SETD1A	0.47511063848232016	0.611349193619203	0.8850408218732249
OTULIN	0.1648182761508408	0.17531746148468444	0.17686502881136298
CHIC2	0.2771330810762505	0.46644419512941576	0.24965980744724103
TCEB1	0.5263679363510557	0.39418150811104496	0.09398200769559267
RGP1	0.35932559226519856	0.7305813639046707	0.7899737629363487
TAB2	0.8682042132084529	1.0805239848074382	0.7154747563775804
TMEM208	0.4668908000169739	0.329430430593365	0.4976762342129638
IST1	0.5339104834041438	0.7215546720443899	0.4914662951198365
BAP1	0.4244490775727599	0.650654480148346	0.8614810659933948
UGP2	0.883940799662226	1.0064898448931947	0.4445595545952764
EMC6	0.4799308613889164	0.35787003792330097	0.23358419903913297
NCSTN	0.8413680236997073	1.0057723757124983	0.8198097034389968
UBE2M	0.25491309665959605	0.21688905303728925	0.2562867517554186
KDSR	0.4470061130462552	0.781394745093127	0.24859009846012498
BIRC5	0.34684508750287013	1.5104214849128168e-21	0.048051231137895015
VPS4B	0.510257061727038	0.778111208488673	0.406944622939307
POLR1E	0.3167389541233234	0.4773643355205763	0.2298098616273583
NPM1	0.9355962920218546	1.1304160738519005	0.8065044971242888
BARD1	0.1794677169318647	0.20189968319357554	0.10455107041426259
GPATCH1	0.15351326282639738	0.3313853833568744	0.3878363425920019
L3MBTL2	0.19606524842645617	0.35699017559754975	0.6470228458648216
TFB2M	0.26769491281276975	0.2520263707730878	0.09958523183701773
MRE11A	0.373757537318385	0.6325950673531426	0.26388353051538904
CENPO	0.2672564549152984	0.042799723376472	0.3429102359490153
CMAS	0.7171327694915945	0.6002717089155634	0.15411270596178953
MAPKAPK2	0.6795680930112592	0.7891158494426954	0.7012662223959498
SART3	0.6819270913093523	0.8191561898631752	0.6853979559139274
KLF5	0.38639368773034594	0.4291780536448682	0.188258768782561
MRPL12	0.8225955994588218	0.6711102416431951	0.8116537810732025
MAP3K7	0.5645368984729805	0.7702700030176076	0.41046838236163874
UXS1	0.5534892238461026	0.5527408215444687	0.3477564585291393
