	C0	C1	C2	C3
TBK1	0.3653666053083324	0.7753573322631482	0.7957649642972804	0.9700837292668678
AGO2	0.8726029714380626	0.6594302122740827	0.97075308934699	0.7770438387161664
ATG10	1.754543731002551e-08	0.17867920848848293	0.12159465194903153	0.09543050153948095
RNF31	0.9607140127416186	0.372992198344205	0.914810672055476	0.4699146645981988
UBE2N	0.3068147497475512	1.0200681764534218	0.7132331618348077	0.9642509351928104
CHMP3	0.046687776516414356	0.04717911605335239	0.041837145863115086	0.018299190513570176
TRAF2	0.9457102605235457	0.24733425999272532	0.4682731036179039	0.3994555497730614
SCAF4	0.4921638109598731	0.5912020115592225	0.744987692771624	0.6322260239795494
STUB1	1.0380435416780815	0.9655109957966173	0.8344185934131424	0.657374167760072
BCL2L1	0.8875952556018648	0.9625235457900907	0.8706700981051755	0.7795279588549977
PSMG1	0.03591200654721106	0.4783857174803264	0.1587275794475555	0.46151030603350596
EPG5	0.3983445198536425	0.325566920147261	0.857195766175524	0.36393362457693057
ITGB5	0.8182906508572845	0.7219662036062979	0.7291519633155057	0.6342293375677617
DICER1	0.431871968382871	0.6056077227404583	1.1965388584504657	0.8326922023023545
MCL1	0.8925072409507406	1.0126971965272362	1.0338948811940896	0.9496399967169293
XYLT2	1.1436099547065626	0.6436115128742654	0.6113396603798734	0.4568301054513104
IPPK	0.1868824980654826	0.0761396652384026	0.21663698156812974	0.1491897559914784
PCBP2	0.8637212083495182	1.0749350408613678	0.9923370767360785	0.8833209512923034
PTPN2	0.14462228579345546	0.2992874353139783	0.646735289925551	0.7645140270637442
VPS13A	0.48835894089911186	0.8365705748844525	1.1797991485444213	0.6938919524055567
FITM2	0.6227697165084036	0.6066065587939969	0.2459573278836852	1.1021215224011518e-06
IKBKG	0.2268973208276644	0.0344220632603167	0.129350551342169	0.0466823230017523
RBCK1	0.9773476971912693	0.9071377908492697	0.9543779931788117	0.9158752300876738
CFLAR	0.6154912604007692	0.7310494419710972	1.122566026012039	0.6899956359131263
EMC3	0.20161566989176147	0.5053411229667379	0.33138518452666627	0.4233582589368081
SETD1A	0.9269928395839642	0.5973760318782628	0.6767930415929386	0.4384225692251916
OTULIN	0.1742197250490088	0.1591031519898599	0.17854731668462667	0.17699401783003793
CHIC2	0.18910210937260866	0.3710681967211132	0.4427221425123964	0.32373171536121187
TCEB1	0.11274867523128655	0.4661271143829339	0.21074926330503216	0.5541615134944905
RGP1	0.7537306860194032	0.6254091509349817	0.799854191692825	0.3428659520852068
TAB2	0.5989029542467473	0.8885690486726033	1.061115773517401	0.997331733769518
TMEM208	0.6799101659653713	0.6127173373439991	0.12476722785581071	0.3187363478644924
IST1	0.46166744709634805	0.7010439603552444	0.628539897437666	0.5418775617288646
BAP1	0.8206124247017181	0.46958472923676686	0.827151632349119	0.4716419572159965
UGP2	0.41607307437205304	1.0447016290004476	0.7411000125613488	0.9088297522822768
EMC6	0.37444860490589155	0.6481578650900316	0.05416628223069151	0.35797817884267974
NCSTN	0.8114504127270874	0.9815484918412493	0.906471796743326	0.8602429174302396
UBE2M	0.34562353495696474	0.36502319760597934	0.09124702337212554	0.1756553567677422
KDSR	0.20754905165512655	0.8222148886412503	0.5330075436446964	0.41744809448354697
BIRC5	0.1306739395431122	0.017899325617604822	1.0958023722645084e-21	0.3631432820165727
VPS4B	0.33089388684649357	0.6831080860806364	0.6875777698225694	0.5623264178047752
POLR1E	0.21046892859669392	0.4762290208118213	0.3661697179836602	0.3173500032778991
NPM1	0.7824592883363162	1.1071384266643507	0.9805436804310708	0.96267121733184
BARD1	0.0474465188900574	0.09345050170512104	0.24625112105291277	0.2545054306957157
GPATCH1	0.3541868701940091	0.24935193184556384	0.4063372165974251	0.15918369226372014
L3MBTL2	0.6792370967468038	0.34245077345421426	0.4443696578104577	0.14674838040278168
TFB2M	0.13164485147454674	0.3439565344162107	0.11603854325970799	0.23475267493187713
MRE11A	0.09252181918859156	0.3647483944917907	0.7043366597286347	0.5244720822716931
CENPO	0.4084018305223074	0.0499425847489528	0.11974232057222955	0.2867966106916283
CMAS	0.2570378020178932	0.87596622080888	0.1953017343339086	0.6333348892232824
MAPKAPK2	0.7303648812029274	0.8284709852421916	0.6780214234865654	0.6626805093180347
SART3	0.6555387708548843	0.7470226187850852	0.7861631434105788	0.7274194915764511
KLF5	0.12392866377281443	0.3196227067096453	0.39963691911938864	0.48897720863423066
MRPL12	1.0396384958200207	1.026909399956131	0.37261123044367034	0.6482189452309822
MAP3K7	0.29801178236972325	0.5945738532068643	0.7545005323961135	0.6752156630115707
UXS1	0.38067427942067444	0.6511735753077346	0.37909149127344177	0.5277490811446408
NAA35	0.16123761064491846	0.3994161029703754	0.5270693186325734	0.3824726008141582
RAB5C	0.7380953293368768	0.9425892996986001	0.769183377246017	0.7851187863188743
MRPS15	0.616756113311925	0.8941729571720709	0.39752604689718124	0.603895013461205
TSG101	0.4920886739716858	1.0408466555134217	0.771565140785592	0.8103770790144373
ATG12	0.04206252842383242	0.09659626397474544	0.08315649445638706	0.06697075150372385
ATG3	0.05264517968770338	0.7149919620434503	0.4789616917143264	0.834053181218738
ATG101	0.701975022149447	0.7402190716554088	0.25205608389752093	0.5627906291042515
PSMB8	0.26723938940823233	0.26030689934406487	0.05295582065272866	0.18170328990775422
SOCS1	0.7615420135607093	0.28975410985120326	0.36599414594183266	0.8222630819637887
VDAC2	0.23207924842687438	0.6424411822476498	0.12609787707772252	0.3906305370587779
JMJD6	0.46652066292323635	0.16036707947108803	0.2665177319668956	0.35567662155307156
EI24	0.5419083125536303	1.143316492429043	0.7950368691741158	0.8924740432813282
MED24	0.9403828863538125	0.4294937593303246	0.5986524889417049	0.3056511578022721
SAMD4A	0.47850478536808844	0.15536965035906153	0.5497118431304464	0.14082993775122393
TMEM127	0.7201554951102666	0.8343701254078265	0.6893800079894175	0.5700262402934853
KDM5C	0.9382877788053283	0.48352503967599403	0.8145122439419787	0.5203674533825409
GLRX3	0.3784456262423115	0.8655200982543295	0.5932765771772578	0.9254145033162632
TNFAIP3	0.6868286530448935	0.5755853133232518	0.8972178584438709	0.9310162944396432
