	C0	C1	C2	C3	C4
TBK1	0.7591276788009277	0.9879757735933198	1.0558863203037587	0.44818000561088883	0.42544749838683077
AGO2	0.69827602976839	0.8912349050135014	0.7974008554450472	1.0357478996951124	0.6659681611264534
ATG10	0.11843671830088563	0.06976791987204309	0.24250790657214844	0.02667140839302121	0.045395084286642275
RNF31	0.39302053164351325	0.668720410929797	0.541990296199615	1.1813198167129495	0.5647608816717145
UBE2N	1.0549087851445584	0.8231874154354254	0.9974236187442844	0.35651969070405387	0.5931202763782922
CHMP3	0.04741941490353308	0.01277818172632096	0.02926380437408352	0.056439028441962295	0.045824726145694855
TRAF2	0.08380485229973124	0.6593538772739088	0.2933062822953875	0.8244345336705794	0.6395454043023293
SCAF4	0.6366205098865403	0.6519829051511624	0.72107159209757	0.6496836205124058	0.43224440592241065
STUB1	0.8041299977432969	0.6818343018643165	0.771573699240912	1.0442477391569382	1.0384014220486133
BCL2L1	0.814074517428719	0.8079207695548114	0.9261568641222091	0.9203985135587777	0.8957749637829467
PSMG1	0.4662909349050248	0.3436888356482378	0.37206570647989506	3.8912327358949544e-11	0.27470631740531865
EPG5	0.26910073682166386	0.48429839564182064	0.8130595211074902	0.7373516773182464	0.11730578877880761
ITGB5	0.8197251720615978	0.6294742249894175	0.506416357167512	0.8953450633575987	0.7781371256918556
DICER1	0.809440293924354	0.8841598009094491	1.0944462299345967	0.89582019232026	0.19315944270451887
MCL1	1.0047359648906866	0.9642746093249623	1.015214332431957	1.0105558542455848	0.8766204662171396
XYLT2	0.373957374509506	0.6199386584272929	0.49114803892308884	1.0131858183681597	0.9947506638863899
IPPK	0.14016062573269553	0.18509598769957186	0.11540203361598778	0.2501011380628613	0.09337527365506866
PCBP2	0.9775914923493112	0.8698970327647475	1.0557554218817993	0.960096912785556	0.9110871121408514
PTPN2	0.500366531615841	0.8252765721345132	0.6757262883479385	0.3264873373064751	0.03868146353401869
VPS13A	0.6244467910735473	0.7577572020947652	1.4251700097317317	0.8493697422723736	0.3505721250849853
FITM2	0.20650828972353022	4.8100238931460955e-09	0.3661500760457949	0.49233899157952254	0.7237974293580013
IKBKG	0.04001892813464514	0.09065183375174941	0.019889581561029147	0.24416188090783567	0.13475995449641318
RBCK1	0.8072503318330431	1.0066009086291374	0.9563139211648165	1.0077069586834342	0.9010574832095882
CFLAR	0.6344989010169555	0.7790914315618505	1.1735666180779543	0.9478813281968855	0.4155724184112916
EMC3	0.5578173071112112	0.327539342946464	0.3907563350635101	0.23001208712499732	0.35253173748076233
SETD1A	0.43712194893561734	0.5472996329490155	0.5375138342980301	0.9405490817900437	0.7880122466247023
OTULIN	0.08516127998795225	0.21843253316091796	0.2413556882842896	0.16501424647588486	0.14294003351544846
CHIC2	0.6191218146485511	0.22563936985309038	0.2713707763297345	0.38707946824066314	0.19492298061450578
TCEB1	0.44610549835626845	0.5015910785891703	0.45938570111401383	0.0010870741780745089	0.3047373864635376
RGP1	0.48199483296170587	0.3999458535257418	0.6890304859814192	0.9432618391162167	0.6058552728086559
TAB2	0.9205384970706619	1.023201423182531	1.1553592808945283	0.8082026875432554	0.5599501432490374
TMEM208	0.3677915534845773	0.3126209386683017	0.2057937986152271	0.3887121950041819	0.8581680851453108
IST1	0.6364590922068541	0.5109728024521955	0.7107900748118533	0.5496077604453126	0.5215027863890054
BAP1	0.6236077226211723	0.5436554279668901	0.430073539846393	1.0519811578893623	0.5707712701611315
UGP2	0.9758904164427223	0.7992098385391916	1.043464009916068	0.44747186327668365	0.6718193052569094
EMC6	0.4543095130580921	0.25542533726236405	0.2787870010349681	0.11552194364178137	0.6880487747724868
NCSTN	0.8533557533134319	0.8825540566913044	1.0134683454289253	0.8592385845058477	0.842834638379726
UBE2M	0.29828289737100855	0.13147456109985248	0.08862238008334213	0.23136385193722978	0.4626561984085509
KDSR	0.6460779655112668	0.2825398102061193	0.8377824841866983	0.30752705292589866	0.4306417984838749
BIRC5	0.01918521428380021	0.42763777650695756	2.539180980171353e-21	1.405592008520239e-21	0.19451286990508365
VPS4B	0.7576879293347002	0.48432369520545226	0.7080397563079084	0.5247925411727665	0.39318790949551924
POLR1E	0.41600990863313336	0.2646275825616393	0.48074037431734185	0.26829032216417337	0.2980585103376744
NPM1	1.0053861815501697	0.9421994609552585	1.1295112198265471	0.8575252356962683	0.8746664264728095
BARD1	0.17909955894389082	0.2755006105179082	0.22767962484679924	0.13721401679314332	0.00031758371625784424
GPATCH1	0.04703989967722293	0.25650013726895277	0.47666303490213074	0.41986446101885216	0.2298510124010166
L3MBTL2	0.20836424771547965	0.236293442448703	0.27637253156092917	0.7146734125350365	0.5318747647924399
TFB2M	0.19280544762505425	0.20547105969961338	0.33181485799604094	0.042535252569750756	0.2619498760363011
MRE11A	0.3556319762474161	0.5658486158666184	0.8535428545654002	0.357667098186559	0.00471188933227951
CENPO	1.8356987948097184e-09	0.44375632052818875	0.08702398040366029	0.23755360285447172	0.28208087904670875
CMAS	0.6640318281631495	0.4988249239349523	0.6389043970547037	0.012833321374499714	0.6681961303166963
MAPKAPK2	0.7715630795484745	0.6433442614631282	0.6792751109435219	0.7379768710294538	0.7925177553677948
SART3	0.7102686177233073	0.7593382593347443	0.8149701309362453	0.7412316537064934	0.6249929595765726
KLF5	0.7859649430534279	0.35005598440618624	0.09923750544112085	0.29750765286834047	0.20224076427056065
MRPL12	0.7048845997739372	0.6297661775457244	0.5159405557001242	0.6779676461311771	1.2886600216687862
MAP3K7	0.660896870344578	0.6634926760760446	0.8388213153316466	0.5034889392555091	0.27280650094260944
UXS1	0.6419021863338931	0.43938577988107663	0.459732434176416	0.33954751493990804	0.5641900045162741
NAA35	0.4667400828194184	0.3492451349199034	0.5490204137596829	0.3568109964685791	0.14464198935781095
RAB5C	1.0157278832570014	0.7051833038085742	0.6970013386048886	0.7942838087308997	0.8551310214283636
MRPS15	0.7571682395287688	0.510640372443108	0.5495432884729392	0.4517337985873111	0.8766798368104911
TSG101	0.9486492213882015	0.7090237146719729	1.0122905828126822	0.556600853365024	0.7043215680359765
ATG12	0.08002267603496827	0.059278958862840896	0.1116896011106573	0.05777857982203773	0.054913818038582904
ATG3	0.8617983448963451	0.700429410403655	0.7260308123149057	0.0888039441580061	0.3034849531203555
ATG101	0.7228405160932799	0.48383023860833174	0.2179394641237537	0.46734141594036055	0.9270221205583475
PSMB8	0.1330573253425972	0.1968523822396738	0.13735103782860242	0.1269387225430028	0.34407849845463584
SOCS1	0.6137787790707965	0.9285423985361193	0.007000131700618779	0.6002494399928341	0.6533970405383981
VDAC2	0.5225899999198068	0.2628884682734562	0.35681045364250397	0.07258096953731331	0.5442313711453675
JMJD6	0.219458161387217	0.44884378169036343	0.11461880719522546	0.4127744078968888	0.34864072789293044
EI24	0.9996380128433258	0.7826251052786745	1.1092733528977388	0.5588258688311579	0.8017672412528456
MED24	0.259610822717262	0.4619532200962394	0.39635123709432457	0.9429059752433713	0.7156602124069906
SAMD4A	0.31260599565312874	0.1819178197601194	0.17531871800929552	0.7395495214107187	0.23078196121084774
TMEM127	0.7152045066863688	0.5432053114792939	0.7148382570010423	0.7559898900616593	0.7808670655396023
KDM5C	0.45547176863364264	0.6761583272551959	0.5513988802568985	1.0575800609235877	0.6626970095329503
GLRX3	0.8361532629101032	0.8690602149065949	0.8757255894507084	0.3299625434690249	0.5875793961025257
TNFAIP3	0.9663609876703814	0.9761169209336727	0.5488953737932999	0.8849035606778095	0.5273411139046849
