	C0	C1	C2	C3	C4	C5
TBK1	0.9255930248682924	0.8405196200646478	0.7135243970229871	0.17588348589850486	0.7076652120293504	1.0033844234934932
AGO2	0.6149331319755568	0.9626333885641457	0.7864708894260857	0.8081404403419863	0.9643197676688907	0.7775965088602494
ATG10	0.1696034457484723	0.009056100107366094	0.07518407770903547	0.005231414888902931	0.11598217351852182	0.22088143017196465
RNF31	0.26890111645115333	0.828754840138429	0.5656846454814433	0.9469593933182227	1.039176926006003	0.432585814677732
UBE2N	1.167388480194909	0.5960721700204993	0.908748086187759	0.37363059322594355	0.5338879941748239	0.9299781472770702
CHMP3	0.03637513829590452	0.013089713128171606	0.043676443360600344	0.07150470265688286	0.04211902781215443	0.023661599230435527
TRAF2	0.09123947254756759	0.9613437951679822	0.20210185761334204	0.7354010821244663	0.5319374770841229	0.506210241225724
SCAF4	0.5808955531987604	0.6164750330765479	0.6701632017171543	0.4680812609127739	0.6880325817247918	0.6742951259452298
STUB1	0.7870723614864757	0.77748886069776	0.7437047976347769	1.1991915390235617	0.8204631653021142	0.867793770260291
BCL2L1	0.8550721161489335	0.8381884038995493	0.7563464265742649	0.9391889081567845	0.8334680536485097	0.9927909806072059
PSMG1	0.8074291127851622	0.13907591636611735	0.2957945102027676	0.13645500278977638	0.18146983487897145	0.15486854017484383
EPG5	0.4358771622257527	0.34975575447631113	0.3388460837959017	0.3799935249888231	1.110045106010634	0.3681526008474725
ITGB5	0.42213035665601933	0.8076698163946955	0.8817553912470284	0.8519192209376848	0.5082429207493319	0.8360929203992123
DICER1	0.7518277004044909	0.6936785112865324	0.9348330326615579	0.37611018079562875	1.2223938045027518	0.6994879171444354
MCL1	0.9451743250650544	0.9683756734544707	0.9962298289788731	0.9259177889879869	0.9318250250968281	1.0463491938506595
XYLT2	0.3460041783199429	0.9094342626953095	0.3917631299972697	1.108791847974798	0.6359183126026918	0.8058541699654255
IPPK	0.12112455130129444	0.18739239802659394	0.17574003335398275	0.19337852769019584	0.2573901488946256	0.01995596442667609
PCBP2	1.0038886397050033	0.8414851970840582	0.9132230254241193	0.956858728793727	0.9263049428785871	1.058522283731407
PTPN2	0.5072029315300922	0.691335384170441	0.5924191715921628	1.59264724738117e-06	0.5455573225254338	0.4866244899506355
VPS13A	0.7981048645310436	0.5620507645466829	0.6272362007096293	0.411644723558077	1.2839251031058267	1.1573382274181125
FITM2	0.3987997004445309	0.021131289766967546	0.02443197990277528	0.8949013288185277	0.3877797980662404	0.43247728491074644
