	C0	C1	C2	C3	C4	C5	C6
TBK1	1.1853205964206683	0.42910630787957166	0.8897709522986119	0.5992063995889887	0.33360026126406156	0.8870493822805885	0.7536247691403527
AGO2	0.781602043280763	0.7921177012070313	0.9741070894455706	0.49591302286797223	1.016095968491475	0.7814928799223881	0.896235679061975
ATG10	0.27784129952258985	3.7226168483558083e-06	0.15002021297189866	0.09266839700826336	0.06632858629836863	0.05591034869168861	0.034870239713590746
RNF31	0.35491500778144575	0.8900716945092182	0.5595244712974252	0.34567651466308463	1.1902846002987284	0.8299741426474595	0.5777268092607423
UBE2N	1.1782381661672199	0.4481796349018393	0.9129556701702551	1.0271023132383437	0.319217597686304	0.721283071530101	0.6301957189026619
CHMP3	0.02756601595249188	0.04977525271553019	0.02966076187061759	0.05675620882280075	0.0665102152888865	0.026459651633659275	0.00844821524601333
TRAF2	0.28961894134572985	0.9662940677799008	0.3397759068176299	0.0433637201333579	0.6786601499251398	0.5154385612238859	0.7272844023641585
SCAF4	0.734439476831432	0.5047757935830092	0.7810774736923597	0.48274756130040014	0.6130546478925862	0.6449888477544103	0.5335345352645577
STUB1	0.8350071159407629	1.1414531810888766	0.7977799599039198	0.8612823035402256	1.086005358391393	0.6137637133405854	0.702112289543292
BCL2L1	1.017826457850524	1.0518365132073566	0.809586215482271	0.8304757610504739	0.8665070589980522	0.8128710051718123	0.6544798411248083
PSMG1	0.4739272150132407	0.0010581494573933157	0.10957325527782433	0.7464328251312163	0.10312900884293102	0.24876931774030456	0.32388981331723943
EPG5	0.6049474672730983	0.1619174326313727	0.3411674072240456	0.31095760593687727	1.002116950115737	0.7476899299781922	0.2567844225414545
ITGB5	0.628835148782811	0.9130789352872023	1.235244638474971	0.4003654578935756	0.7102085596859129	0.3574860194654185	0.793273995276095
DICER1	0.9482658869082706	0.2648249893669065	0.9970959299904644	0.5781294407728689	0.9720262017757607	1.0799501900007757	0.5740734853977209
MCL1	1.0942711239261063	0.9890687044581816	1.1045543335402563	0.8777558245740199	0.9407018727090685	0.905035848802598	0.8477198835671481
XYLT2	0.5809602421385959	1.1558390329796457	0.7170082253234389	0.28266105636967126	0.9901609599273783	0.3097916078017628	0.8801280846183861
IPPK	0.051678748123159	0.1478961347026394	0.11399974933332199	0.1525917543518138	0.27153248889432974	0.22871662903294263	0.14841617489153994
PCBP2	1.15617580146373	0.9571163997457496	1.0064336381536187	0.9389545502456585	0.9659239486801431	0.8301281174466992	0.757907796180229
PTPN2	0.6744304589130412	0.1477556858331527	0.6224456592126008	0.2893565420849685	0.1476559104743993	0.8918299297830995	0.5150996914700195
VPS13A	1.371625998984674	0.41855637496628784	0.9067749810831163	0.48376550931155404	1.0058174869771856	0.9559003086334779	0.40965991850552197
FITM2	0.4103032637142688	0.7300864169914707	0.03903246789397804	0.5232311999330879	0.7164474773501196	0.002104042265778138	0.046367467806597416
IKBKG	5.759764518912578e-08	0.2051451870654966	0.022001104601062048	0.06499825735695666	0.23989484801325478	0.13448496063128323	0.0912628866520632
RBCK1	1.0407414698998663	1.039276870008047	0.936702932867081	0.7375621256743247	0.9382310390953632	0.8945625775290657	0.9337130750575263
CFLAR	1.1857661356286475	0.7610836549800166	1.077996230391734	0.2660722183094109	0.7671686253437808	1.0064894332758472	0.3830757089478462
EMC3	0.40355318890893693	0.2778467163953604	0.11215519215295446	0.8416615139710738	0.30013133805735337	0.476832012313183	0.1403104807772181
SETD1A	0.5650559957021712	0.9666199103767468	0.6637996972973813	0.35896616615103816	0.9199808071643109	0.4531230931293923	0.6269385010468815
OTULIN	0.30315924654450854	0.291534724834455	0.2414259177885149	3.446308696481526e-06	0.00023428050604807965	0.20846184390164316	0.11792146220045606
CHIC2	0.26821579461984885	0.33511818957771383	0.7113908656809057	0.3465804948308628	0.22667475015608418	0.32313388442367375	0.09744600880059066
TCEB1	0.5812002982847144	0.12622509180500432	0.16754111255337525	0.6242614261051326	0.055433973152068015	0.3831477780241457	0.4213526929182819
RGP1	0.6074743310984342	0.7245058907095226	0.533623338388792	0.5250529259828262	1.1021106983412678	0.537210098693717	0.3318615878625914
TAB2	1.1846767127707825	0.6186115662712265	0.9619756606117147	0.8269484529834313	0.7834531640555499	1.0780746587151968	0.742990890731788
TMEM208	0.3555770803636208	0.9538844008265982	0.0697057113463088	0.6721796882327511	0.3256613239442223	0.22630015147382268	0.33547138478641814
IST1	0.806616200869635	0.6156091555072891	0.7823927627962672	0.4846518294345798	0.45330083241387115	0.49107821338214597	0.38985976640991177
BAP1	0.2557035783623642	0.7161528758786542	0.5830620284036929	0.6413452922464964	1.1590067236123278	0.6580770155169688	0.5365249096172819
UGP2	1.2067237600872087	0.5800423452954002	0.819171332719568	1.0242595953506306	0.42834198764245573	0.7761187437538808	0.5616076343124976
EMC6	0.45495197932621073	0.6007880296107658	0.0020313591646020502	0.8272984645644673	0.13397575693025243	0.1868552044961977	0.2314302581395126
NCSTN	1.1201184854368418	0.906146479925784	0.9702407389686853	0.7804185156674107	0.8250213954294391	0.7817008154192355	0.7864112431123176
UBE2M	0.19676028498415143	0.4834779941726749	0.2126227949048363	0.34629281901751535	0.18051494145097904	0.040738334306094845	0.2004692547273106
KDSR	0.941251950661714	0.2981305218592932	0.5499807799633144	0.701574280029138	0.45177065294256324	0.32638082156512155	0.13230909026037785
BIRC5	0.06058458022798332	1.1238025689292456e-09	4.132773204082623e-12	0.17901962492186255	4.805766153774958e-21	3.4342419049189483e-09	0.7408136905968182
VPS4B	0.767910853592126	0.45908326792514675	0.8992413355838168	0.5230957557959348	0.43606188395511963	0.5100124533857262	0.3343044354005217
POLR1E	0.564224837987178	0.22149760282453945	0.5761670913617907	0.2647501287163335	0.3030131744801442	0.14280037000396215	0.30094764568913324
NPM1	1.262463294730375	0.8726266242150668	1.1008811411466348	0.9118395320174408	0.8488859449883148	0.8090399710786483	0.8485487404388904
BARD1	0.22155922054199625	0.003549887620571106	0.29127503772669516	0.05445295973500218	0.1013539372312602	0.24527765810282823	0.23166518108847592
GPATCH1	0.44834302634729145	0.2568940967661494	0.21909226800911133	0.04254413768959937	0.5467560226647161	0.26296292174169156	0.24169993407566323
L3MBTL2	0.2517759877240963	0.7884832881756577	0.37085326241246835	0.1615467137840778	0.6552431589018177	0.29735376187421925	0.2256091445893193
TFB2M	0.4011408541143725	0.08691330569933257	0.0003300538892889373	0.4078967999866055	0.18387015771183832	0.14859617932546496	0.20323849777374184
MRE11A	0.8382277996819455	0.00016199344532560257	0.7340031488375144	0.05692005218209628	0.3953785333880036	0.5189741579029926	0.429018472762676
CENPO	0.1068642269661454	0.24542159992355225	0.0009909063549534338	0.06573113276817126	0.2974350042886997	0.1944302308822876	0.6358369679534251
CMAS	0.9417944057526938	0.4451276545912042	0.41568942235975825	0.8098151591675532	0.02317409424722243	0.24304443411707136	0.4871311748723177
MAPKAPK2	0.7962592242694309	0.9963613563855808	0.7793314882016863	0.7141131136253892	0.5606024299336193	0.6684780788737739	0.4711211691142727
SART3	0.8983459780231476	0.7092807427277632	0.8906707863048241	0.543609375110431	0.6739207373341147	0.6609327722543772	0.6898673899561882
KLF5	0.00030127102402605164	0.07389034375947065	0.5666798412992152	0.7297902795983926	0.33327370655474975	0.3273901363109561	0.394811913939562
MRPL12	0.6958277194590834	1.1540370046541653	0.2550553403278454	1.1961032901025779	0.8434203442588374	0.34540745005345863	0.8301230539701702
MAP3K7	0.8576868894583967	0.20050018474463835	0.7909973907037142	0.49745428073983555	0.5644156463985356	0.6240937374184635	0.546328005733853
UXS1	0.5270387812708198	0.35921522851894205	0.31106703448028783	0.8836796166474147	0.4987542018873373	0.3507365872493354	0.4630762882829578
NAA35	0.518939108396395	0.05264175084343481	0.49575585257405147	0.3975225689021968	0.47966669120600636	0.37486520402948925	0.27415590590833094
RAB5C	0.8129548996293573	0.9254543636387789	0.9704054875871861	0.9337337184969512	0.6826110030088947	0.6506266110796303	0.6345169515362556
MRPS15	0.7048219811582472	0.7868927738015203	0.38722581262615136	1.0421705708700881	0.5073616017650485	0.4078276608678227	0.49518888760511676
TSG101	1.1493571117944499	0.6270983141855525	0.8739933920954326	0.9518860399120085	0.5859622706900622	0.6532555040773697	0.557162000590449
ATG12	0.12932930564420547	0.052215060497143646	0.10298652597727155	0.05656163850653418	0.058947770699468834	0.05112652688100734	0.04651340473672826
ATG3	0.8729583495289376	0.23591113700910052	0.6161209662047065	0.8215704875743063	0.0003019971267219326	0.7037174755005595	0.38778067234848224
ATG101	0.35518600065685846	0.9508425765140154	0.2830061888441474	1.0140764636855575	0.4026417667009257	0.37086783995836486	0.5169648155729114
PSMB8	0.2204300365182839	0.5102063534506626	0.0450691617877099	0.20335190471594644	1.0968737267717907e-10	0.21039955516447975	0.07885719144759477
SOCS1	0.04979477962965461	1.2037970962257718	0.3736330163424377	0.6301903553396406	1.6365672870404883e-08	1.0626108082512162	0.5686542730798921
VDAC2	0.5520772376903555	0.3630389519986091	0.3378240541536744	0.6425592414312935	0.09497817889422548	0.06733575442490795	0.33156502321639714
JMJD6	0.123413813381712	0.4301970620316145	0.3206842164410467	0.1542112837928896	0.3333659159321562	0.2819191778845747	0.5562173315957254
EI24	1.2625574959738959	0.6478454955839671	0.8344501797544032	1.1102953390908825	0.655001602247073	0.702832250508288	0.6354451128622319
MED24	0.34413746056475464	0.8535309983229235	0.4619837931160891	0.26926465537708066	1.0359462882567692	0.3497236034681838	0.6256039715277578
SAMD4A	8.053264206979838e-05	0.44123512363065137	0.5874705600297938	0.07537526933216197	0.7491102617121904	0.2510170293772015	0.22205036491255897
TMEM127	0.7705880094847202	0.9168227376008802	0.5700902828313618	0.8288485043410501	0.7322025493470897	0.6602615512989365	0.3625217383941956
KDM5C	0.48965994170914967	0.8607212385886936	0.7110495082739499	0.3367387130170273	1.0626965631703136	0.6151176352645569	0.7286671554136102
GLRX3	1.0637701013050176	0.39797076323839137	0.7832575573228637	0.8211677787851092	0.3331564485617018	0.5973610360204101	0.8375673176539411
TNFAIP3	0.6711616823858383	1.1856653318978017	1.575223742698961	0.18096664053101233	0.0747809094608941	0.9901131991185372	0.6723910585379508
SRCAP	1.093426879361921	0.9765990825717161	0.9694439611519232	0.876421766023756	1.0253818919626696	0.9065772406252366	0.8069350828144188
PCBP1	1.149235886967896	1.0033380729190942	1.032113002866641	0.9171073746424985	1.0007775539890587	0.8861616396536643	0.8419227176170473
MED16	0.22178729321496687	1.1426189935159696	0.5989161172260348	0.14615405715179058	1.0524715889250755	0.25436828164169795	0.5078956395736431
SETDB1	0.8464469549277583	0.6408468341340965	0.6740987694479118	0.020277661749739787	0.955542063027659	0.5794035833605287	0.643014458146296
RB1CC1	1.1244304829176428	0.19468210492471366	0.774970548505807	0.7177162609653269	0.739806206118281	0.8612632038433858	0.5694317302598291
PSMB4	1.1198545811213771	0.9810591730973646	0.9826091617923001	0.9050956081555335	0.8862720484423919	0.8161100538016507	0.8391282766116095
DNTTIP1	0.34056709482234715	0.7805621846049582	0.6437446721540754	0.2541737063358817	3.284907937393026e-09	0.18586754509379566	1.0572306149012805
HUWE1	0.9868969345734127	0.8684789934623337	0.8992570597662668	0.6708756127471748	0.9867304930041615	0.7862783653665153	0.7380385201923102
PRPF3	0.9385911216730185	0.4841209476024377	0.8754932213775958	1.8429016279294305e-05	1.1752982085704367	0.7795663659923742	0.6312436357198761
BECN1	0.8165468552085116	0.6461172945626634	0.7524715788195824	0.8270302071743703	0.5040656141935638	0.5660264680504123	0.5138633966437477
TNIP1	1.1546137727854657	1.078421396831861	1.095631179167306	0.7887607127321359	0.9601526749317687	0.8079321422603161	0.7984412364797724
