	C0	C1	C2	C3	C4	C5	C6	C7
TBK1	1.0832247126308272	1.2334049613166402	0.14190935501032917	0.7390819591550386	0.5692515379947322	0.6294911829973787	0.43204114955503775	0.9407315346196508
AGO2	0.8992370376251823	0.7862035658891013	0.5276294244529102	0.6564707417937343	1.0749641440669795	1.0903108953933538	0.5849997316454858	0.8617323944553412
ATG10	0.19334589142938402	0.16248824444975934	0.10961509997631724	0.10945603432598981	4.0099995268393326e-21	0.09242678539663922	0.00020728373525773672	0.12252871589596562
RNF31	0.7890872080157911	0.2954106462656214	0.828228171601899	0.36603330930802497	1.2699768623793577	0.8367920151864052	0.5222427813874356	0.3894387714419114
UBE2N	0.9722502907306488	1.0235717232123867	0.7593605288227429	0.9455117544238496	0.44285498329779044	0.2796941875001218	0.5104266277914499	1.1196572616000997
CHMP3	0.03503684878305408	0.0015979847306886177	0.0983646707356605	0.028293548106288598	0.04737236698488212	0.02682709845666729	0.03293092294524553	0.03659322678407516
TRAF2	0.3131729778321591	0.5029214924620926	0.5148591414161997	0.46879298364713834	1.1474073242324003	0.7097739257945964	0.22582156571292114	0.0637013043020096
SCAF4	0.7679991577341392	0.746922210971772	0.3242396004035321	0.42324493906832394	0.6405644586404876	0.7114799686365604	0.4608866250263492	0.79811558882316
STUB1	0.7179569781317551	0.8722002753413184	1.1283334233114566	0.6033360062465315	1.063294187755737	0.9523804657397533	0.8107671665345793	0.7735473761093389
BCL2L1	0.8773572053390867	1.1209975761602384	0.883853762124614	0.5670490002589464	1.0084427856106783	0.8545833093852455	0.7367964558359975	0.8495657712978787
PSMG1	0.3957964373876003	0.3338467357151559	0.23568128112232706	0.5160307775452833	7.948207983637612e-07	0.006006098061374509	0.5112995636845382	0.4113691918348277
EPG5	1.1400967792197716	0.1268036167154106	0.46232393646516395	0.3416668876557703	0.4758309014783881	0.6826163798305243	0.3832813568954995	0.2628414290150177
