	C0	C1	C2	C3	C4	C5	C6	C7	C8
TBK1	0.7722617515533727	1.1830416625456879	0.30283304030417874	0.5310483974004117	0.9823707862568303	0.38312986309258157	0.43670585507115384	1.1159292889680628	0.8019340950518116
AGO2	0.738285676473094	0.862902742161956	0.7879674038036593	0.7155024966318084	1.2213677797670048	0.6419150567591576	1.0282233869675141	0.7065851572531542	0.661023801238612
ATG10	0.06355568806576375	0.05738343731703928	0.004261875361688146	0.027783753786641458	0.13866053130181183	0.05766035944565377	0.079574379193317	0.31065605245856737	0.13691658026030232
RNF31	0.4306245595054732	0.8161574336781552	0.8329909455831627	0.4034580071450867	0.9383023660183051	0.7137767527507741	1.290415621358081	0.2598243876867016	0.3541914200639977
UBE2N	0.5717469268504217	0.9811389453093935	0.2604472991553887	0.6435188402889542	0.8389406690507523	0.9743525044487663	0.37107972278430407	1.1646097569218148	0.9371864973890616
CHMP3	0.00025092077866615864	0.009505464698641492	0.06521282514403644	0.02530978506609078	0.023487714764588382	0.08942064660006946	0.06537877228858616	0.04964252669116198	0.017554405901295905
TRAF2	0.14661189947903086	0.6192213319430894	1.0949653967979405	0.6345424363316727	0.6025586763869246	0.15976762780850756	0.7736341140447842	0.2990800872430181	0.24581280166431385
SCAF4	0.6377982993343759	0.7022750478432149	0.5456276150180156	0.4111747526951654	0.8214165621976314	0.5149863986459631	0.6146945114854138	0.7742518003113972	0.5217808717537068
STUB1	0.5684195444962542	0.7765832179203624	1.0178687556739499	0.6530089300803039	0.9249713562383275	0.9851273024921594	1.0862593965746408	0.6654749620969245	1.1212579888891359
BCL2L1	0.6736826832166782	1.0463215170264908	0.975855613679835	0.5188532608764942	0.8932068132645264	0.814768141538364	0.8954801710994588	0.9256915682122766	1.0618289749294685
PSMG1	0.2532453094503356	0.2558700139931178	7.841555748834864e-06	0.5004779832813532	4.1044273415871675e-06	0.530461011937047	0.1260262010708762	0.5965536017704304	0.3814186753545964
EPG5	0.46945764702142323	0.4713842768871804	0.3292922593628769	0.14988957248670748	0.5117391889650643	0.4552005536319089	1.166977791953187	0.790744665065067	0.05566387219478624
ITGB5	0.45269898558121197	0.75715526359151	0.6160090478212763	0.5589889061614561	1.468529063069182	0.7703577113871101	0.6003551435861084	0.226424283999774	0.9326252885548503
DICER1	0.800156566087589	0.931031929640223	0.4011797368897823	0.41074810710873927	1.1245458648966447	0.8390047251650967	1.0641249278339995	1.1683223327110845	0.19711649851336727
MCL1	0.7757163923967515	1.078360252888218	0.9462863090976524	0.7374824310933152	1.2007018633081932	0.9765212284142987	0.9502377756028151	1.0724245866490256	0.9759979368331733
XYLT2	0.4117229628633944	0.5656397969971831	1.0531769602793324	0.7010683377840567	1.0202420031941526	0.3303999668878624	0.9612894569718885	0.2789545550626367	0.9919239547334225
IPPK	0.10661413381862452	0.15051319934359267	0.21876656641150968	0.16807995803928438	0.12148930599324834	0.25521464175247244	0.28328525605168203	0.13627241259135808	5.18531804081781e-09
PCBP2	0.6933543748969058	1.0293291927955621	0.8537387321393278	0.6541833682236331	1.113516513451286	1.0074108894398879	0.9976374782275899	1.066591754516808	1.1001123461841187
PTPN2	0.7290441935931065	0.967395728274406	0.20529207563193488	0.32069614235335864	0.6786030287302317	0.1670327073875425	0.22507904268430892	0.8153265948472017	0.11804023351836412
VPS13A	0.7571424764764066	0.8987455261675026	0.48369612155121977	0.16086064053759808	1.0848317501483857	0.46323400937415576	1.159823915971605	1.4535334938706523	0.6687368916080114
FITM2	0.0945194672976909	0.155062896866241	0.37171622166217094	0.03923456749698971	0.21042106379634667	0.4616447306787599	0.7634074033488673	0.0017272700204747204	1.0826462149980287
IKBKG	0.0040666598410924	0.1167175568303608	0.21353390229698688	0.08802182115838748	0.09057025899341654	0.17160392266093585	0.2822476396691709	5.0579497985195355e-09	0.0008864847838906525
RBCK1	0.759442879238661	1.1141833002551393	0.9490893782462395	0.7770755447281598	1.137818567876758	0.7310414816901747	0.9980866121870998	0.9212648606608409	1.0091757555208731
CFLAR	0.7587521269827558	1.1172990894744863	0.8532270825118274	0.024554852321757283	1.2449577996226084	0.32838411404639073	0.8161635993017623	1.2259961024197605	0.616638651251846
EMC3	0.21908280644027858	0.5466849815541475	0.13077449980033853	0.2404171604845279	0.04511181796848104	0.8566706411648078	0.3805608799906237	0.40697750614558986	0.47098972698593367
