	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9
ERP44	0.7435373993247759	0.1281238826917287	0.7485384944713143	0.21659413260181676	0.6254390780456139	0.21008188259414365	0.6859240501152304	0.22540555465202108	0.5167515451551836	0.2421671911761155
FAS	1.107775148907261	0.17280854445832983	0.9610945534106605	0.3425263691901342	1.002583021152614	0.6558093468339025	0.9768572943154609	0.5471434110114565	0.7405466500868583	0.11402825812692845
ICAM1	0.9825551387511006	0.15357050455245116	0.7068860360237349	0.6999032898700238	0.8521317624835815	0.7180195549795718	1.0819170917483565	1.0292247771567222	0.34304829398716036	0.002156226668117534
UBE2G2	0.26661348959724257	0.05364834544866528	0.4871100446240634	0.3313691459930686	0.37564709843265764	0.281884929568486	0.29562157417934903	0.5053661547360588	0.2169585731524681	0.19178343120597668
KDELR2	0.7436045038061225	0.15029174029009268	0.9156770903839794	0.5878361590547985	0.8981817378687394	0.4944741548644754	1.0100087816736234	0.4484185910411309	0.5680249180356002	0.28877458109464954
KAT7	0.46268479074029994	0.1564782132337037	0.6949121160510517	0.3073939312317458	0.7232126633474242	0.5418662540068924	0.46520894504169813	0.5565911514707661	0.5121432707370865	0.2974740870597332
SEL1L	0.8082870425391376	0.13508621797346956	0.9781365765901308	0.41055689085699754	0.8929880100165479	0.4039746341376523	0.7609380214378955	0.5180735614094851	0.593178608815062	0.48030531032440704
ELOF1	0.561869272613449	0.11242045809164306	0.7099623330607714	0.49508505074183934	0.6378211572760003	0.45672046425540014	0.5030914412151976	0.400296683764458	0.4208082092289455	0.307177745578419
AP2M1	0.7811042073607289	0.20128719778515103	1.1146102437938112	0.7959095919618778	1.1849491996134243	0.7848185234491348	0.9893470706747108	0.8594162811315587	0.7079679662256941	0.37641319572309595
NDUFV1	0.484013685972747	0.1950788543139416	1.087103714222259	0.9528972304099114	1.2850055070142765	0.9805948190319356	0.5857728917447893	1.1046422108632465	0.5944951826675655	0.7004471507210286
PRKCSH	0.7013366050789627	0.1629551259096223	1.1734202698712166	1.013648409351109	1.3147285579430283	1.0821250190385228	0.9065804813810254	1.0883738751544183	0.6869167956090623	0.46261219065538894
SMG7	0.6295860747726051	0.16683133502420755	0.922009172852767	0.44385875819789633	0.9339000264923238	0.6318675688984121	0.7042296519529162	0.585584846592796	0.5748960820192124	0.37739549350835605
PSME1	0.8527351545249461	0.144856457613359	0.9145126030625986	0.6314926015401418	1.0091133950978308	0.5656836918154458	0.7272269757231485	0.7871712956986422	0.5225790717222855	0.4295275206437764
OTUD5	0.3058542250385496	0.0693808783538879	0.38462198897123484	0.3750848289343736	0.49304781928216584	0.47273374744951063	0.337472781755608	0.6908683417249333	0.24773690062224504	0.23027495235756357
LENG8	0.5490628239957966	0.12474323083125381	0.7479116126555262	0.4873700104453621	1.0743013885617787	0.8348111760489386	0.6960507645838225	1.1102135857699058	0.6642148130459389	0.4259623404674324
RBM15	0.4800615590642081	0.2515081687534941	0.7012659466544164	0.5017214305415238	1.0344230584150629	0.775079853627793	0.744594658847242	1.070528770809135	0.5022656828603166	0.359492919205102
DPF2	0.41261630946360445	0.150009192280617	0.5947431725849933	0.4675064819850643	0.6320914185154212	0.4505757687126703	0.3923979181630668	0.696966072551335	0.41013882370433546	0.22854095829173154
RCE1	0.0008906628812058959	0.00029339476387105993	0.0012568859429090316	0.000906900345771057	0.0015154598837530525	0.0010234807335057561	0.0009853701058722664	0.001175317754643428	0.0008591269319519167	0.0005725440475691507
FIBP	0.47626975842316116	0.16016507790913406	0.8110833994032204	0.6942332511731863	0.8298818518556937	0.619334658019751	0.578726646705809	0.7451692475058566	0.4101731458158255	0.29884385266300517
NDUFS1	0.6633540853574309	0.13614863820329473	1.1926763327136074	0.6696451362139729	1.1657800624620753	0.7090447832118899	0.6674872205760316	0.5928754948432481	0.6673152802638036	0.6516165122590191
CYB5R4	0.9032545732201653	0.24175823817891282	0.7540197867263821	0.14809414187282455	0.7694962843996895	0.36221894799188503	0.8006785230396848	0.3075155221915958	0.5715041243594452	0.28796652262904804
ANKS3	0.0062496765117091325	0.17993079142511026	0.44016627172777195	0.5090953949282265	0.6549155831235624	0.8327606099230448	0.23801810995156072	0.8569148623637967	0.21628796627471955	0.2589014077572588
PET100	0.7460336062541678	0.16336764352074665	1.020371552086079	0.6076539720023527	0.9522997564806253	0.6496465529347336	0.7076839090802973	0.49427032629638384	0.586566719245003	0.43594498193763254
ATXN7L3	0.32910889860341175	0.18583080009240605	0.3604846419850614	0.3323758113691697	0.5226201137436861	0.29728412158907613	0.48685365564811317	0.6719021187881415	0.2965795137528521	0.1993717274556932
CARD10	0.004070171560513096	0.09551347288237287	0.5659088246538688	0.6414434915400712	0.7258970611256813	1.0006293018424874	0.347874453026866	0.9686783562790809	0.22443318281707586	0.16232589509884252
PSME2	0.7360499942640565	0.21457055449941184	0.5651965630176383	0.4449877472216965	0.7719493471073499	0.40953545135030694	0.7593080003546981	0.8398059611623686	0.3913759072153758	0.3668094184255481
PKNOX1	0.4303813556619268	0.21738199981336137	0.6235103578900869	0.17336913304109375	0.5986490902250007	0.38043751929023095	0.590289032508105	0.36332398657810894	0.5060478724517136	0.20173237153949192
PTEN	0.9226152026656967	0.18051915199549676	1.1860588414864024	0.4043741516560543	1.0664942165800464	0.5055844234130499	0.8283332602238304	0.5863969999593076	0.9063457717892356	0.3808099656055046
IFNAR1	0.8515406662790264	0.15047968005285792	1.025671084151163	0.3013260344424394	0.9296933237832335	0.46222997919780695	0.762122125019271	0.36501956719314005	0.6619956130572907	0.32782566314573347
SURF1	0.3084428142009762	0.14551554476810558	0.5235139065093682	0.5021830264548495	0.7969785215692561	0.4208529911620914	0.18743453942442959	0.6551224055312117	0.2901780484527519	0.4817313530043874
LSM12	0.29758493563063304	0.11411805635218346	0.41903565980036706	0.07757775307401596	0.0010141360049024494	0.012182560839219194	0.3759682410944568	0.058504361623342785	0.16211892831259664	0.048969389838385405
TTL	0.4786828106651309	0.29922637403688146	0.5216210245276329	0.3887637488953669	0.727800782166235	0.32371727107773285	0.6836653881403617	0.6146908063534137	0.5261239195426274	0.3559570941344414
SCAF8	0.6393577471767091	0.18869971474971306	0.9245404746847958	0.38134673950386777	0.9739140825625432	0.6121930833135044	0.692734202306618	0.7248809731490026	0.7490070413751321	0.39752184153808173
