	C0	C1
ERP44	0.36719751943209755	0.5189945193613633
FAS	0.5386853144573231	0.8275566977848587
ICAM1	0.5742439075586209	0.7963173516835765
UBE2G2	0.23452925958894139	0.38061787541761205
KDELR2	0.5389520849377087	0.7104386767547509
KAT7	0.36097669304171137	0.5909719002951421
SEL1L	0.4881526733800395	0.7277432569593314
ELOF1	0.37477190278219746	0.5533495086997707
AP2M1	0.6447398897078185	0.9466257517591913
NDUFV1	0.6104756916715219	0.9911298837466525
PRKCSH	0.6842239455407044	1.0662131498879606
SMG7	0.47265650390139996	0.7392644355471107
PSME1	0.5298755957116242	0.8138782220460331
OTUD5	0.2879910992665509	0.44627975024265504
LENG8	0.5295272979470526	0.842191640313137
RBM15	0.5195023779113346	0.7852350449956277
DPF2	0.34784032216494803	0.5508017851525463
RCE1	0.0007542619000277908	0.0011659863662814168
FIBP	0.44922560854618554	0.6934810817705808
NDUFS1	0.5469127176011461	0.8881204515400029
CYB5R4	0.43705536531056216	0.6022135052918159
ANKS3	0.3070572990459054	0.5300808338372724
PET100	0.5080334174332918	0.7763147006930257
ATXN7L3	0.3228434002363951	0.42264378120161944
CARD10	0.34591165715808786	0.6220999764595847
PSME2	0.48194183530095064	0.6336902291135338
PKNOX1	0.3365034648292799	0.4837543315878544
PTEN	0.5471572960630424	0.8735858122913697
IFNAR1	0.45826796036719036	0.7343525992118274
SURF1	0.3204122742393922	0.5407104418823204
LSM12	0.14903683892085723	0.16210595767058
TTL	0.4426035835380202	0.5357154011662242
SCAF8	0.49255120701341903	0.7807123197257391
DDX39B	0.0007542619000277908	0.0011659863662814168
SRSF2	0.5865151067908773	0.8647985345715049
NDUFA6	0.43800033908515973	0.6600521333574473
EPHX4	0.1103712145642377	0.09984929561462669
DUS1L	0.45700158442987343	0.6577282133802236
ABHD16A	0.18714340915512845	0.27499732399292526
NXF1	0.39398737092962066	0.6260424644741601
FBXW7	0.45494342530715043	0.6766122744695585
USP4	0.42004322248359666	0.6056297140668682
FAM117A	0.22655555779066003	0.4132106929858328
TAF13	0.4627977627943282	0.6409696780211755
CYC1	0.567012128410386	0.9070433168824767
CDCA3	0.2344945351936971	9.723752072520415e-19
FXR2	0.3960044240665033	0.6115496292441106
THOC5	0.36520965813254763	0.5498506665047981
S1PR3	0.3571562709110304	0.6086838750450374
SIGLEC15	0.07264187165541455	1.7959035394238728e-19
COCH	0.31072058076762893	3.957200707433804e-10
QRSL1	0.2311649755406976	0.32208514964814194
EPHA4	0.1805394800167541	0.47365429109668383
MRPS26	0.3812374882568646	0.5857332894039434
IL12RB2	0.17177617431925846	0.2973747456437313
ATP5D	0.55824834517041	0.9423562328475524
CUL5	0.4285836341756121	0.6890343896265289
SUMO1	0.45994262530597235	0.6938808019367282
AHCTF1	0.46131640263044676	0.6839300121754006
GPCPD1	0.33135750870395536	0.4998661499712831
GAPDH	0.628736384118535	0.9224336313679814
SLC38A8	0.026711562963244527	1.322631327905607e-19
DYRK1A	0.5141015421827124	0.7915804492184857
HNRNPA3	0.36954079212607194	0.5375200860846261
SLC29A3	0.38766181828585095	0.517738575079167
SMG6	0.40511059606498195	0.6461185500823257
SMG8	0.3540874840083179	0.5166713541658106
SEH1L	0.35994804463564695	0.553821244051604
EIF3H	0.6476317590438257	0.9712308919448163
EIF3B	0.5593453438964983	0.8178453456517831
QKI	0.462086617738172	0.6886942763806727
KAT6A	0.4875198434342377	0.7622229317251453
MEX3D	0.38653734268752227	0.5377082926080204
TCP11	0.010046714736383454	0.0017355171059719972
SPRY2	0.2924650770696801	0.5447078877837354
RUNX2	0.4646841955846992	0.5160518372412907
SPRED1	0.4200079260465188	0.5974932061919126
