	C0	C1	C2
ERP44	0.4644994091567168	0.3577570083917129	0.527469790169766
FAS	0.7614759200994052	0.5025059932839554	0.8087695878813024
ICAM1	0.7243531474374435	0.5275541421154493	0.8269966159084958
UBE2G2	0.3797166412707411	0.2379638871915658	0.3169919816023668
KDELR2	0.5992515277902685	0.5022028630114376	0.8002813363317017
KAT7	0.5885907119744684	0.3712958469986133	0.4877283657930507
SEL1L	0.6691613797340004	0.48307970325053856	0.6991969438800216
ELOF1	0.4971498447228142	0.3567216056454329	0.5572656847512952
AP2M1	0.8663687932490112	0.617699011838204	0.934886045928704
NDUFV1	0.9620201511226846	0.616322411722847	0.8571279079830384
PRKCSH	0.9911963410734494	0.6504611374929684	1.0157135781754643
SMG7	0.695745128517989	0.46021378770499033	0.6855762585518168
PSME1	0.7624661280653384	0.519456085408974	0.761306319017247
OTUD5	0.4561388335349144	0.30184677465703064	0.35925284811176145
LENG8	0.8632806816097981	0.5560860336839946	0.6673069304677091
RBM15	0.7959971099237713	0.5436347420123531	0.6465105150201672
DPF2	0.551765858887001	0.3623759948234237	0.4535343941468703
RCE1	0.0011127502703540725	0.0007488387685105762	0.001058302899565373
FIBP	0.6456999227454271	0.4342785426151768	0.6564571207634557
NDUFS1	0.8217472333507243	0.5296474112299588	0.8294908652079633
CYB5R4	0.5530080356040952	0.438239354500109	0.5933327766265258
ANKS3	0.553597164179127	0.3193832686418215	0.3977884664854488
PET100	0.6971276414747614	0.4816157693880326	0.7733447922508768
ATXN7L3	0.4269569339978423	0.34996048528809104	0.3623861888146418
CARD10	0.6318655270034156	0.32790088363415726	0.5033789276908056
PSME2	0.6150866871615954	0.5064919341652896	0.5820721325573738
PKNOX1	0.46398657864778947	0.34440320061159974	0.44162702509712404
PTEN	0.8290527683751296	0.5434955116489724	0.7879247883060603
IFNAR1	0.6725121488192812	0.43680495506949496	0.7023141534127285
SURF1	0.5430118904942529	0.34319450080146263	0.4257561044595074
LSM12	0.13313448269761952	0.14645858972247766	0.19634279931240978
TTL	0.5127772126662944	0.47787667835438763	0.5081050962293614
SCAF8	0.7719994993155518	0.5087978346752451	0.6569975972116664
DDX39B	0.0011127502703540725	0.0007488387685105762	0.001058302899565373
SRSF2	0.8534439334120121	0.6080751918949223	0.7492188833588531
NDUFA6	0.5782833829271739	0.4173674748911873	0.6753188545608804
EPHX4	0.14103415873559672	0.17530637677840544	0.015329711601081344
DUS1L	0.6645172652755267	0.4913236974835486	0.5451237092300626
ABHD16A	0.2925657728669226	0.21274450679427834	0.2009788057313101
NXF1	0.6586651982779219	0.43537045787401896	0.461074253985238
FBXW7	0.6804263608591067	0.4858170376801973	0.5593717986441581
USP4	0.6257258511142869	0.460236403644254	0.47974016806983744
FAM117A	0.47222239583337255	0.27335521078021824	0.22995440499127043
TAF13	0.5385925275491361	0.4196113515364333	0.7191668948243686
CYC1	0.8391814356660183	0.5385585864481613	0.8601119924292603
CDCA3	4.954430945845367e-19	0.22819513713209075	0.13265457206752937
FXR2	0.6020490716212838	0.40797540186111736	0.523710561441723
THOC5	0.5516946941633063	0.38220847153658793	0.4596788170790769
S1PR3	0.640897444523741	0.39477551279691075	0.43561789470927337
SIGLEC15	1.5981040570521081e-18	0.12451890910622657	4.526586815535205e-18
COCH	2.26718282159248e-12	0.5263178941681265	0.00481194336367665
QRSL1	0.299636438898808	0.23919955315905927	0.306018340324173
EPHA4	0.5721995759395215	0.23465673211498225	0.18607637382757863
MRPS26	0.5704145800047749	0.39189625029196257	0.5101242702670422
IL12RB2	0.43270209375421587	0.25548599798497984	0.029889674767593143
ATP5D	0.8831901214382823	0.537762888602903	0.8573815799947656
CUL5	0.6401382156435079	0.4162586521027069	0.6421996498332387
SUMO1	0.6000785636278945	0.42516087311188155	0.7282774059213462
AHCTF1	0.6319607859819022	0.4504457265045796	0.6597580988940271
GPCPD1	0.5154453288282406	0.35781396002320515	0.39383920999582556
GAPDH	0.7861060078344739	0.539800501339119	1.0229803223894034
SLC38A8	2.627874550019539e-18	0.04554843165451319	0.00018256232057621468
DYRK1A	0.7611704898082494	0.5188893466852809	0.7068139072347118
HNRNPA3	0.506845960653651	0.3692257134316844	0.5048563034106989
SLC29A3	0.5031229033995055	0.4088799610396575	0.4707144197874218
SMG6	0.677018112756834	0.44205993817660455	0.4824810654852039
SMG8	0.4755318990957316	0.3465686734032656	0.5029962549444978
SEH1L	0.49892554815263546	0.34466684336850384	0.5458715182140701
EIF3H	0.871280113476566	0.6116425313819402	0.9772938419103367
EIF3B	0.7475124169673748	0.5342322398116901	0.8113964708830528
QKI	0.6514588422693667	0.457930989115394	0.641228453008362
KAT6A	0.7598978948579717	0.5114253808428871	0.6321128485792438
MEX3D	0.5341828621161152	0.404098090171212	0.47069984199251846
TCP11	0.0036900520232421453	0.015342113556151626	0.00015412877117548356
SPRY2	0.5896560896938758	0.3322750631839225	0.35260124841625107
RUNX2	0.5102364183442234	0.49895611572273674	0.4922133051597391
SPRED1	0.5847607121758785	0.43357523533744613	0.532089651087134
IGFLR1	0.5303562278368009	0.44137334135778183	0.4724525744341434
KCNIP4	0.5641718223886213	6.923300865808325e-18	0.3472025651159513
PGP	0.315086107307853	0.302348011122532	0.25659597588704014
OFD1	0.7309913396617429	0.4466987970743385	0.6088428204327057
CDC14A	0.4893456536797922	0.32831167231445657	0.24983449927036605
PPP6R1	0.6604326605944864	0.4994191069071319	0.554335796271482
CPNE5	0.460604806429332	0.26018195549552403	7.342080404650176e-08
ILDR1	0.42467663098361047	0.09695311135508027	0.15035867057793545
CCNF	0.21013021257043263	0.3709251441783918	0.3097504292086976
MAD2L1	0.14273803352264863	0.3668659349031465	0.5343986716035805
SNRNP70	0.9950029761424052	0.6349742255649592	0.7248745531249033
AGPAT1	0.27160833719576216	0.1649828866963423	0.25299033235057944
TRIM39	0.002014992507288806	0.0009846446181381973	0.0004989070003415197
SCN5A	0.003512490747049698	0.05048948996228307	6.384781599455208e-19
PHGDH	0.5597362399421172	0.4230723475545015	0.4011604557028637
CNOT3	0.6366131538880953	0.4357191947512371	0.5125129290194972
METTL4	0.3041365785400142	0.22043411482829078	0.2557123811890193
VMAC	0.3944779024215702	0.27291490660346984	0.13587524881415977
PANK4	0.6147155981143391	0.39650209302808137	0.38740486395147555
SERBP1	0.5910113857153759	0.416391374202303	0.6916722777252123
NKX2-8	2.243685971001705e-11	0.008096659211112073	0.0017526599282691555
EHMT1	0.76820465143822	0.548302017295184	0.6035606758858375
ST6GAL1	0.7747580441717699	0.5168041268243996	0.6812211385319712
GRIK2	0.10331351427631856	0.18729240980942094	1.1268736895355146e-18
ANAPC2	0.7296334598901086	0.45431092785207444	0.41258439718502904
FNDC3B	0.7787789938752991	0.5393751627804946	0.8988111808840467
ZFYVE21	0.5913993413526547	0.38417076250619303	0.4408093106277488
FBXL15	0.36863573502996366	0.20754167775285412	0.23493861082854486
GPRIN3	0.5561048833780916	0.37545210839201615	0.37740661381013035
AMD1	0.4735135287849192	0.28504376653328356	0.4128805607143494
FASTKD2	0.5599062062583321	0.3463115016897123	0.549110981937902
