	C0	C1	C2	C3
ERP44	0.42116508015417214	0.22193801349735265	0.740967773606118	0.3493788357317939
FAS	0.5458054398614871	0.5641325518844292	1.0208716021501902	0.5831966452804908
ICAM1	0.517758797857252	0.9414856671623589	0.7708993619044056	0.5582135161443579
UBE2G2	0.21723206833108616	0.31226951883115867	0.37724514106027723	0.34096427791192313
KDELR2	0.591370414964537	0.5225328549150106	0.9287404525310473	0.4311241570544269
KAT7	0.34893338421739245	0.40365709668617406	0.6325385968107934	0.531692437519966
SEL1L	0.522934834397884	0.3983167150785601	0.934171708074603	0.5500436508624257
ELOF1	0.3997056545275372	0.37745121292927425	0.6960053116298146	0.3690260021080043
AP2M1	0.6509682419888274	0.7523834967382196	1.082392185189954	0.7032166718627948
NDUFV1	0.5827072808206195	0.8112419458315144	1.0131401770692543	0.8343654822563223
PRKCSH	0.6573218606993645	0.9419799946362502	1.1311099048769426	0.8018276921854965
SMG7	0.4784374651658252	0.5039771045843235	0.8635532843149702	0.5753241526323039
PSME1	0.5358756573401662	0.5974940089469335	0.9378051445364849	0.6183585104290824
OTUD5	0.24823956752797896	0.46862059358314967	0.36640165882621806	0.42831866865361246
LENG8	0.4631057951933298	0.7686762201469145	0.7435681063462444	0.832063968455314
RBM15	0.4646763501788379	0.7676386784733252	0.6842880214763468	0.7572472124456358
DPF2	0.3286062858807091	0.44405204965931167	0.5433796851950278	0.5076033780081431
RCE1	0.0007372089427884363	0.0009165093821214751	0.0012561430818085531	0.0009576924444152915
FIBP	0.4389740063718593	0.5872502582780051	0.748241375439456	0.5278183622575867
NDUFS1	0.5757960678925623	0.5052515647801629	1.11212117082078	0.6519007585367774
CYB5R4	0.483989790197385	0.3217747752640254	0.803292753530821	0.4406824973504043
ANKS3	0.23207734887242087	0.6348193634592427	0.35569395966891065	0.5249189838618098
PET100	0.5442111883106694	0.49228717949810574	0.9934076172712404	0.5132988567454956
ATXN7L3	0.3060219637676066	0.4299066988146427	0.3641701171279508	0.4285395472296234
CARD10	0.23717355729979878	0.7833215289857246	0.4299300530340506	0.5667091162611173
