	C0	C1	C2	C3	C4
ERP44	0.27984918840308204	0.6259006113145731	0.34228219181008573	0.5156249315341621	0.4875091282318925
FAS	0.5454181798255839	0.9279928071463883	0.44467489516255654	0.8667367172064172	0.6576143102274907
ICAM1	0.7208724174155098	0.8552669464638397	0.5539491772707376	0.9386275764038216	0.35972997195621925
UBE2G2	0.3845848154588997	0.442620382978959	0.22593101150513997	0.2786436277659231	0.21118659909433976
KDELR2	0.4787191043816671	0.9042957204125207	0.5824631847163977	0.7299078963330095	0.45848975611696713
KAT7	0.5373727571259038	0.6686029866761086	0.31467531888402245	0.442495737859207	0.43532012684220417
SEL1L	0.524450850475141	0.8790735857374808	0.44813062899616557	0.6255563613803241	0.5946117400743367
ELOF1	0.38204774565512817	0.6980141201390404	0.3869602771736676	0.5054095855517312	0.3685873886653429
AP2M1	0.801787125531853	1.166739386084256	0.6600409301411478	0.8171487274267426	0.5543950718134693
NDUFV1	1.0064462190768035	1.2543762389583948	0.6496272940307567	0.6406005521930912	0.4587491028668665
PRKCSH	0.9747046056410686	1.3161793338264711	0.7075096659731992	0.878154173026998	0.5058732626977485
SMG7	0.60553369245337	0.888572034438848	0.4476707229469687	0.6103931177131762	0.49750850116855505
PSME1	0.6810481769554586	0.9816307360075034	0.5192779443281638	0.6878435917512631	0.50958941465316
OTUD5	0.5159797056402712	0.4753328741344802	0.2712219903366731	0.35728173107601596	0.21852571039470353
LENG8	0.9320151551772722	0.8986666681897653	0.4579077509234024	0.633115583331187	0.5184265944297355
RBM15	0.8992787137218443	0.8626250212541555	0.5014643458081672	0.5971162951440322	0.4109536659366395
DPF2	0.566251277580787	0.6320595492001678	0.3351109284651064	0.39169200058042936	0.33435840541435174
RCE1	0.0010801850079714868	0.0014045266849461544	0.0007433575576755056	0.00090468533494197	0.0006901569035265374
FIBP	0.643835265109874	0.8694174425623963	0.4772525155562228	0.5440823843665943	0.328679270102811
NDUFS1	0.6854443239640677	1.1662878635565388	0.552565689630584	0.6280674141571121	0.5768325476436014
CYB5R4	0.36259119516116417	0.6739880822653903	0.3859367468056369	0.6286822928730035	0.5907003688289221
ANKS3	0.7013702442449448	0.6047974762159586	0.3227608066655445	0.3337057787346345	0.11575140293168143
PET100	0.5295320905264481	0.9924783612432235	0.515427699514362	0.6834886471918056	0.5144203353961233
ATXN7L3	0.5061655066040583	0.45399356075205016	0.33393214708154606	0.3378923154681183	0.2478918051043375
CARD10	0.776073164180689	0.7246504146645927	0.3421178779783932	0.43215322636572395	0.11654184003439824
PSME2	0.6259545125512672	0.6887000355799551	0.48648141010068047	0.604482134273172	0.4112233308812881
PKNOX1	0.3952596691157553	0.5416914743934697	0.30710695685854295	0.42537204692709746	0.4079469344317901
PTEN	0.6364787694284009	1.029932298998693	0.4605397134269915	0.6928857132778904	0.7721300793032979
IFNAR1	0.47403816640418256	0.8856271444739213	0.39592335193718636	0.6379034929634857	0.6183699332110322
SURF1	0.5939091623950788	0.6996001697190918	0.34571034182177796	0.2561843825868679	0.2620088528593346
LSM12	0.029621326573736034	0.18910794979610274	0.15773818632691555	0.23412981075351258	0.19084659187586483
TTL	0.5395412613151875	0.6129772740868994	0.479623105398658	0.4428650846962877	0.4113349606771837
SCAF8	0.7043183818285691	0.8872990478745256	0.42729242388223093	0.5853656672295332	0.606524639691872
DDX39B	0.001080185007969927	0.001404526684945556	0.0007433575576750471	0.0009046853349432007	0.0006901569035281377
SRSF2	0.9066709276256002	0.9861815613502869	0.5809275282351092	0.6693383682049479	0.5059159708441695
NDUFA6	0.4348757978350484	0.9051597724135818	0.47771747315568425	0.5144988017913877	0.4375140773191784
