	C0	C1	C2	C3	C4	C5
ERP44	0.5783875429139387	0.6938937423502084	0.6532443604776966	0.2940961831109689	0.23144286937575245	0.16577230864755613
FAS	0.9579977445157285	0.9970656102004113	0.8451975429127802	0.5751187390851661	0.4770490662242972	0.13767741627507535
ICAM1	1.1397627164294173	0.8751138069082537	0.5014555416607144	0.6673826948202524	0.613940578582833	0.20648152160106184
UBE2G2	0.3202865345682293	0.3925677233615403	0.2473273621301425	0.446571388877249	0.3039615593874205	0.15614061484760963
KDELR2	0.9070919543733309	0.9699430667323513	0.6460767484920972	0.5016552826612743	0.3523373352593607	0.3099997719051262
KAT7	0.4862399272260249	0.6469862084653077	0.5018703688549094	0.581143900703393	0.45751588508314306	0.19786526974712804
SEL1L	0.7092755453917788	0.9129896548096115	0.7631953145527808	0.5649247024684515	0.4178832842023433	0.2604614846133913
ELOF1	0.5701212418535045	0.6863499811504387	0.4834629548705385	0.5315738573509129	0.255373666800568	0.2535792853542387
AP2M1	0.9998820856418761	1.1601713383609125	0.717172880953462	0.8771529578172768	0.6147826902809019	0.373046416690768
NDUFV1	0.7775099010895474	1.1163564312333025	0.5514828067299655	1.222905813137655	0.7183189280800254	0.4949114596013427
PRKCSH	1.0658535415670787	1.2461315855381874	0.6435191446557895	1.147140447320936	0.709349684240883	0.4224065729065135
SMG7	0.7004822988449654	0.8766674647378445	0.6168101298632577	0.6923583692037896	0.47486092860364193	0.264576575918239
PSME1	0.8035089016472389	0.9731657907746573	0.6550266162192924	0.7609831448329747	0.5160723830885018	0.3109208306925
OTUD5	0.42332252153827243	0.42195358236901437	0.24639745846328734	0.5181075748532785	0.44032398860496524	0.17446488695779616
LENG8	0.7520040560216805	0.8635661116965883	0.587411860456773	0.8390100636027672	0.8331492090458887	0.25075180275625464
RBM15	0.7471047931873402	0.8197439610184106	0.47238867387672656	0.8050490161353958	0.7897559211052738	0.30598757938197757
DPF2	0.464749416236977	0.5961334934983977	0.38274167427340455	0.584808053064879	0.47210121989711584	0.2226268013088625
RCE1	0.0010836810735991122	0.0013676005923480663	0.0008555436984036895	0.0011477610378321076	0.0008542703047415306	0.0004592468124890133
