	C0	C1	C2	C3	C4	C5	C6
ERP44	0.2877872526037736	0.37763993077503527	0.44992374536540847	0.299813656009737	0.1853468136473879	0.788093354756937	0.7298524557712885
FAS	0.5371927981388664	0.5047894500003088	0.8379579537077968	0.2262784290847408	0.4419600310622991	1.1420925216694007	1.040874799121571
ICAM1	0.756470360571711	0.2961239810205628	1.1606389117574243	0.10373044393119848	0.6302808236695392	0.8136652611051817	0.9431811165543305
UBE2G2	0.29507235753332123	0.19204032669390445	0.2912445727869564	0.15639764511972049	0.47713752011322774	0.3429135484862401	0.40722318042577005
KDELR2	0.47866992550303905	0.43964020724823644	0.842707329799641	0.37491843516461565	0.4295573176620582	0.7345413099558548	1.0831715597618696
KAT7	0.4259622498358748	0.38553036682706	0.4071105252556789	0.22899928471538916	0.6170622305231178	0.6427718975818786	0.6483972140092504
SEL1L	0.4440789169357658	0.43865229302578856	0.5583537183256343	0.43837238842113657	0.5215981899537523	0.9216125241840553	0.9610870270880859
ELOF1	0.3057080007681071	0.328479957168481	0.5272810705642828	0.3361188254048863	0.4616722616307501	0.5631394509244745	0.7555695198922707
AP2M1	0.6873665336795026	0.5600833984505861	0.91862614943322	0.38518436522852967	0.8837673540288649	0.874365586536898	1.2633252224863505
NDUFV1	0.7132983884613812	0.4869566704998308	0.7018269398967327	0.5141931361818279	1.3392012906076614	0.6883177477978212	1.2070971276727203
PRKCSH	0.7526544360496964	0.5505518839937006	1.0306739591265026	0.4166010450115457	1.1930095906683986	0.8199832931309452	1.3624490927311796
SMG7	0.48959363375576526	0.4355806589999156	0.6059655376487811	0.33153006123407674	0.678935492580065	0.7941262740122773	0.9180068874018933
PSME1	0.562941127348999	0.3865500781305281	0.6974423007443967	0.40720698601308436	0.7460632134947853	0.87368673499599	1.027235219382465
OTUD5	0.42433119546556325	0.1872782559478562	0.42396380842178116	0.15269779939431252	0.6027818177539296	0.354785900801456	0.43262597304449135
LENG8	0.7759805431121027	0.44524241639205736	0.6739389298709137	0.2437761974033564	1.0208737700573212	0.7904919228023052	0.8580838999926497
RBM15	0.7738049227508434	0.39027883910510536	0.695187234324739	0.24367265525713128	0.96652097478621	0.6750991284683466	0.8307017460467194
DPF2	0.45994503196576153	0.329174478915373	0.4069606800170378	0.19816706535671225	0.6531458633520931	0.504039291089336	0.6115009074097404
RCE1	0.0008714122638542028	0.0006568171770055983	0.0009562348996769849	0.0004963588504594091	0.0012326358137352224	0.0010719327679266464	0.0014550587788207344
FIBP	0.5088341652845719	0.35284188911973996	0.6212296287140923	0.2937144433727613	0.7969286087513744	0.5356858253951854	0.8927543359700479
NDUFS1	0.4659676812558332	0.5151712800507116	0.5736660680596372	0.5364622400626651	0.9195112560065275	0.8560231607982266	1.1935192928039229
CYB5R4	0.4123786802237896	0.41196705784997883	0.5655410346466351	0.32290508071134827	0.2149692391337739	0.9457077292997613	0.7828407053738553
ANKS3	0.5085830516645605	0.19678833464613874	0.46394141888135915	0.1406632088082985	0.9602430018819833	0.17841292811692863	0.49440313102399036
