	C0	C1	C2	C3	C4	C5	C6	C7
ERP44	0.3883391965864975	0.6023415571036588	0.49663249514638586	0.6931453063881781	0.005194134409721918	0.1398730381695085	0.5141185950443043	0.604194638024277
FAS	0.7926805170070291	0.919414290939951	0.7323049862687769	1.1406862872431647	0.11697041426285278	0.14732861633815555	0.7417516776155342	0.7187828107785741
ICAM1	0.9492521608993723	1.0862844756622914	0.77383681263137	1.1843542626101708	0.2914032046627789	0.2830606246485677	0.5031930296686523	0.30862123247642603
UBE2G2	0.29461321206233976	0.295356059265662	0.3842107190618581	0.4249712276831867	0.23756421689685284	0.16496772083736813	0.46334513925246507	0.2167030983226905
KDELR2	0.5315547585522822	0.9252984559760169	0.8788698903420544	0.7447368043899739	0.18094911415817608	0.2623230934759763	0.7404406759412289	0.6575399087750919
KAT7	0.4527534274245624	0.4455413372915391	0.5557895810093891	0.7051669488814226	0.3627858370499875	0.19912790914537615	0.6662808872300525	0.4407099662685025
SEL1L	0.5044469024354845	0.7079683426100941	0.7521306138274756	0.920329860591723	0.13182196398382653	0.2778561020695353	0.7922428268976147	0.6935862643723443
ELOF1	0.460778450729347	0.5406334785385538	0.6649865442248716	0.5396303822814389	0.12110108800808222	0.22132834875775415	0.6273763222443679	0.5033007491651774
AP2M1	0.7090442308963009	0.9577374352207033	1.1349741058742164	0.9880210339142113	0.46031965845807793	0.3443981134318216	1.037067446735395	0.7058765606515927
NDUFV1	0.7012604562659862	0.6556136424275311	1.2678523654807625	0.8829825561063424	0.6548546283432494	0.5118572423243243	1.2510152410846689	0.5781555649073934
PRKCSH	0.8747586196338093	0.9489522026758074	1.3488659654862765	1.032853614917553	0.5817237239478998	0.40803213462256116	1.162391393348411	0.6466511076603674
SMG7	0.5398640130192753	0.6666981808407967	0.7646434814423319	0.8275521093735674	0.32012163806930594	0.26474472419389156	0.879667621655327	0.5642431370279172
PSME1	0.6849056035629739	0.7342024520020269	0.9162935507820713	0.9959783302012809	0.2355624225204125	0.3640546515970985	0.8046742161477091	0.585444052287535
OTUD5	0.4471909889320416	0.3551748624303527	0.4438789040958131	0.5512090281242684	0.3621628941303653	0.22444563764076156	0.42089011633454515	0.18789017244047526
LENG8	0.7443606127577312	0.6317399806846835	0.8325985754850189	1.09277292031998	0.6658904051921853	0.3363423040964946	0.7646290274554775	0.484903439830961
RBM15	0.6563907078794126	0.6734592704849489	0.7845568573297756	1.00411708805016	0.6840404681870601	0.3630524449967344	0.7708515493719142	0.3630263457190649
DPF2	0.4447680132633707	0.4057547503916642	0.602758416153237	0.630261341247573	0.39778380168035404	0.23880087625916807	0.5704284023594104	0.3482721896771345
RCE1	0.0008950034968517507	0.0009802545624894704	0.0013799813615118165	0.0012732576797004423	0.0006578284679511464	0.00046799057281607235	0.0012203054042321988	0.0008208831209956351
FIBP	0.5185711436698935	0.6027881476885374	0.8669421665601478	0.6540182352455476	0.3997903084329781	0.31210359484833644	0.8338445215325531	0.40615348939450546
NDUFS1	0.529314600567574	0.6732261763701493	1.080582820036955	0.7909348533169938	0.301977910368733	0.3462549619496634	1.2244383862742183	0.7698468243746913
CYB5R4	0.5212775165962449	0.7181217943229194	0.4827762062805568	0.9023088093751714	0.03926236253689155	0.20767902850662723	0.5394269614683443	0.653325211725567
ANKS3	0.4687940835973602	0.29614273696003046	0.6118710103784585	0.4723449702543648	0.6312226478496729	0.29532849106803016	0.6713278344250064	0.04478781289772267
PET100	0.6096644704223632	0.7287623535465165	0.9409864886006942	0.7744290029660645	0.14711115737335853	0.2778948655279462	0.8863719756763595	0.7004202844096475
ATXN7L3	0.33749217720843444	0.44355508675396815	0.42555256874898645	0.5868780266795318	0.4221684230471893	0.2403638723794218	0.3619132734831845	0.2249386132843913
CARD10	0.568929735349005	0.4002532856237257	0.7828535118504301	0.5174776893988114	0.7322089664707853	0.1787711905923915	0.7314209586968868	0.05884044517432814
PSME2	0.6172807384154602	0.7168622323771452	0.6076592522778788	0.9628895922773019	0.30061044826778344	0.38330129562676113	0.46936447897463385	0.4073288623642941
PKNOX1	0.32906499351629337	0.5041939031100975	0.4295131454446854	0.6196860175717724	0.28630272015585795	0.15918754566514282	0.5203413423355465	0.43564281651990594
PTEN	0.568600278152576	0.7323272051137316	0.8698070501306835	1.0282981056701463	0.3394819223873423	0.20638256320930817	0.9817611246746402	0.9000102344588714
IFNAR1	0.4985124797459161	0.6861036352403342	0.704181962659478	0.8988759699591262	0.1275568262839251	0.18280881448017822	0.8579447868004354	0.7126624108611306
SURF1	0.3442267674023847	0.23353113385377564	0.741104303060384	0.5314630704279184	0.351736921578757	0.33783090431180685	0.6323518736601135	0.3335284650250207
LSM12	0.11620590878937041	0.30822657491660815	0.07543321977354073	0.21322175077324682	0.000944298255820674	0.06727516193815146	0.23398538778690023	0.2114573569460537
TTL	0.3471340920088882	0.6231828797078837	0.576664942625316	0.685366280275609	0.44999987387935997	0.32048736382656073	0.4943975013283043	0.48704483406025595
SCAF8	0.5405395428718596	0.6263030121685368	0.7436739237852864	0.9571102054292525	0.4792635680103891	0.2572638420656611	0.8683526665928311	0.63607504705944
DDX39B	0.0008950034968513013	0.000980254562489259	0.0013799813615119583	0.0012732576796999275	0.0006578284679515643	0.0004679905728161435	0.0012203054042330564	0.000820883120995469
SRSF2	0.684641426519219	0.7772881836175788	0.9197984762499827	1.0715815066678416	0.6173927690269696	0.404814325650638	0.8610004796393774	0.5206295834302406
NDUFA6	0.3696850217315324	0.5817467360838108	0.8541018074751424	0.5171960995495843	0.13193526088894084	0.31193733955461916	0.9580989929766563	0.6460392878633824
EPHX4	2.754327953012595e-18	0.05621993826002725	2.6100275387512744e-18	0.22512503882212617	0.4600362391641951	7.607658324055271e-17	9.549482368207976e-12	0.21128420235794929
DUS1L	0.5301125711335763	0.5010854308651481	0.8501606836957206	0.7268376551096735	0.6431220038879332	0.4313745992425744	0.6284644453943377	0.27024191603675
ABHD16A	0.23036521463021367	0.20410250926203471	0.2656834712073076	0.4103821057869471	0.23476371728398504	0.1879451942335772	0.2476087735371417	0.10505425894299808
NXF1	0.4864233881112396	0.42920617500155206	0.5771231134242382	0.8818035297631414	0.5530824289930758	0.27245603286052306	0.570545036022652	0.37597543665274524
FBXW7	0.6340324583807061	0.5845862974719371	0.5385116065843382	1.0170909610737395	0.30343453137570775	0.3124203914744985	0.5739355973588743	0.5701072260036419
USP4	0.5465462837368982	0.5257259231679103	0.5321911185611616	0.9069731071821855	0.48206424508362833	0.305910209061044	0.46482082984311884	0.39975021656145715
FAM117A	0.47953182512609793	0.10962736969944448	0.3666714232727456	0.6262075472326437	0.2867659673684163	0.24881190445140167	0.27633455114060074	0.2295449914410604
TAF13	0.4880201612121649	0.799473803945737	0.6755329584704728	0.7047641010172766	0.0007992637730578294	0.1278857072514655	0.699038974601516	0.797517132076961
CYC1	0.6791416925583679	0.6759930519748878	1.2373660998725615	0.652718537766341	0.467088251051631	0.5018369083775646	1.2689609451938713	0.48212008719267274
CDCA3	6.46718232882734e-18	0.7793562586481003	1.5194127024810468e-18	2.268973377168528e-18	0.028903484475671322	0.12032509199354322	2.03923401068422e-18	2.3381162730346896e-18
FXR2	0.4491934011247442	0.4707605614405224	0.7113227123912861	0.6448316856157505	0.4308050640115016	0.28799195649288706	0.6948103174436988	0.3915226385824617
THOC5	0.4798723621605703	0.4527598545163582	0.5870434655242475	0.6275945920279499	0.4958771096647478	0.23788839909969758	0.5386068820797415	0.3139983843781602
S1PR3	0.4351519674436734	0.3682770539947659	0.5374594850814164	0.8658837936285454	0.521075658833725	0.009791449416702172	0.39291507784251234	0.748746545666851
SIGLEC15	6.10465572215293e-18	6.246037916953394e-10	0.0003207058174477516	0.001611203752929455	0.0019488261394112116	0.4732666872631258	4.112407550325466e-07	4.776474718725469e-18
COCH	3.393917454336832e-18	9.210973278447362e-18	1.4198746881241469e-18	1.4147069984204523e-18	4.783555948565409e-18	0.6094159676474913	1.8399701719526216e-18	0.8977061163644139
QRSL1	0.15217214924822547	0.3259009604798678	0.27662144712748793	0.34492775372123224	0.11201448918615732	0.16990244952204986	0.5041529059742973	0.3383233155600673
EPHA4	0.30625220422820765	0.00011267967743328027	0.25869159642420736	0.6207231179347718	0.4712817155695734	0.07661889563380345	0.604442633251259	0.3674359929251802
MRPS26	0.41916363292598907	0.3836818648738732	0.8509370885640428	0.42951271585889766	0.5148458257615443	0.3696299757929819	0.7354518333992055	0.28059521452263353
IL12RB2	1.2526168018538877	4.260300668274096e-18	1.9741545725347863e-15	0.00263219110425658	3.5471173162129145e-11	0.2829917062867711	1.3187714446164648e-17	0.6528683412633592
