	C0	C1	C2	C3	C4	C5	C6	C7	C8
ERP44	0.4648275965223677	0.20652534601775077	0.656842762814792	0.5063489598620932	0.5080488891917989	0.4675906163685091	0.12141426831493556	0.3084407769278658	0.7368873536737082
FAS	0.6931304942489588	0.5292318154601386	0.8759977616190077	0.5584352949811651	0.9564608458387003	0.6880360538042377	0.11303910606528071	0.46578523032564084	1.1895641521532143
ICAM1	0.8787910444013198	0.8029599290209618	0.5409121530055535	0.38216164037525535	0.8980449500852163	0.48591688213992984	0.15330449094382095	0.5555928311745846	1.3107604657361018
UBE2G2	0.28683415062981593	0.3857363513985436	0.3361036305756405	0.22039712630742947	0.24235971676230864	0.24775052464865333	0.07462195286239287	0.4732811755276914	0.44762309567642544
KDELR2	0.9137448109017623	0.3754384425968089	0.7704034409738593	0.49289731542985127	0.43787381774580386	0.603818926763234	0.1919703386379523	0.6950254599348928	1.032648464262658
KAT7	0.40710913240353275	0.5351929348551241	0.6125046451010072	0.3645480541613371	0.44847249810284356	0.4767291668142332	0.113289370816782	0.5911872918600077	0.6888061183296448
SEL1L	0.5525797806392452	0.44492147305459784	0.824924555770368	0.6685534997395228	0.5100844025162158	0.5867430625475615	0.1456749512379422	0.6485390304140274	1.0052956880065056
ELOF1	0.5397909019535556	0.26881687398050325	0.5444966369412945	0.3995706124226072	0.39341728270676884	0.4648657015142978	0.16329861250712813	0.6185323951188496	0.7393874505405489
AP2M1	0.964683380722098	0.7252423010459409	0.9142658420423773	0.5301740006510856	0.5415048479399523	0.7758063878955277	0.21065515368819562	1.0495626943154768	1.2797281488359067
NDUFV1	0.7621227911047317	0.8831344715177116	0.7927849513076427	0.4977386644228522	0.34506653313477265	0.7627289523466758	0.2811743183573639	1.467246562984965	1.2350572376118027
PRKCSH	1.0362056417597845	0.8584783400411812	0.9006639964477783	0.4969300092365867	0.5718344298189847	0.8206609986335305	0.22390964513863215	1.3531421931192895	1.3988143716089292
SMG7	0.6236754375588601	0.5483348767705841	0.792187187969425	0.46749042598115925	0.5043841001385345	0.5701062491620076	0.15900147619193486	0.7654715891185697	0.9337015692825753
PSME1	0.6058532981568217	0.6067365374064806	0.7472749543758676	0.5703667638201123	0.5855240970773103	0.6181568025522498	0.20751472653783345	0.8125718886065157	1.1759602292184572
OTUD5	0.32924517089065775	0.5636302533433568	0.2825577654611937	0.23868580105069273	0.3489542911522653	0.3007780397263035	0.09207183630036224	0.5185540730663215	0.5688257698484481
LENG8	0.5598470747005201	1.0345080760177199	0.6632400777103749	0.4484700589243827	0.5852235949326	0.6755368826925042	0.11691822408445261	0.8638817730007085	1.079818087056387
RBM15	0.617654006071057	1.0094126578928693	0.622219371548842	0.37310073554398093	0.5190451828748383	0.5501058328118513	0.21294453476441616	0.8396943630117878	1.0231661764157778
DPF2	0.4056323329522297	0.5782767441785004	0.4946696990089831	0.2783644888830535	0.3545303081440811	0.43151612029600483	0.14750134293135528	0.6235254315093971	0.6729752506887036
RCE1	0.0009589545031128169	0.0010202205318590675	0.0010548200262188116	0.0006534305213308379	0.0006688887840929153	0.0009506799953616011	0.00029243066379824656	0.0013143826171655424	0.0015507447206703313
FIBP	0.6584280204142653	0.5749966454777868	0.6172186151594466	0.30788451053956145	0.3406915983166178	0.5094645593462501	0.20706473308453238	0.9106602578299517	0.8984358266709416
