	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value
C0	0.0013101905997538665	3.775474402719605e-08	0.054433350177426	3.329307247087899	2.7603496028948232e-17	2.4505699643416745e-16	58.99556852193657	12521.72670654612	0.006521349152704943	0.4276407675390212	6.481649891579349	2.899758835438911e-17	910.2855255248446	0.008854779566194366	0.917312907937578	471.1387484327202	1.901290341478063e-08
C1	4308.4033301509635	2954.4868752501966	110.66408375773936	2.430968191683797e-10	3503.7475359140876	2.6107132143377757e-15	1990.967605456895	131.38618544140922	0.7538828260516247	5.900583072345363e-07	8.26731823863333e-18	3169.279685681693	3.4395410961125696	0.12000745044496147	5.934979291425102e-06	1.3623868619907302e-08	413.1230097848259
C2	1466.7846025248732	2594.3844620768673	0.0054224732190602835	5841.097246283697	191.83441204143415	6383.6067583951035	2.586368446244145e-17	12.099087302748677	1.912677288013644e-06	6.140384379218334e-05	1.3584736131608861e-17	1.9336418156814184e-08	2358.39640859714	597.8492689516974	2.7677424508155308e-09	5.386692362806834	4.7764638061924e-10
C3	263.1138419175494	5.282745773862647e-05	276.79178541791697	7.455628704926615e-11	3.831997160802233e-12	2.204951500780453e-05	1.274130363717927e-10	3.574836418809749e-05	821.0327462990682	0.0005789962808277178	3.558505959599321e-05	3.237525000421643e-07	7.171227925252968e-05	10264.692697094992	8158.131164325432	0.00027534439687803663	7.275565973324717e-08
C4	5.856590644844724e-05	3.766227372405323e-10	11406.677438977968	176.15480412656333	1285.0265940402362	6.648390019899707e-08	5.358364841590498e-15	0.004720160667639114	1.0993750846568465e-09	77.90425943495221	1.145018747802577e-05	6.165421131373105e-15	0.062185563639438536	21.46397884865335	8.11889269173862e-12	8.024306262562234	0.005308164105404417
C5	3.036241138732664e-17	0.03626370651155342	0.0003338802608724273	75.32189500307635	8.478500406537263e-14	137.59484184316204	7941.100449858951	0.00045953735932218864	9505.52447681895	1.980386043861642e-10	4.092899207615817	3.3766359431975975e-14	3.929696115108613e-07	1.294312049245181e-07	1.2884152071991649e-05	0.20525002041517101	0.13696608186161335
C6	2657.0660677515602	3286.7398347987732	0.0008358929512672615	2574.944265882085	3960.004743950222	2.214860828414355e-17	1.3695163536318592e-17	7.474732725782292e-09	0.0188598630028852	390.58113988370906	4504.577770568936	2.554951713847555e-17	4.3132921998334567e-13	7.270102360929117e-07	962.7314103867443	94.7323235288851	71.36604874244861
C7	3.3988547417608144e-16	1.2033562168182894e-16	0.00014429713866674943	0.000879696247271432	3.684876951715629e-15	3198.2710083930706	77.56725026237969	13.817792887492738	0.006225853706261924	10085.372886567178	3.212163086515895	0.30253877338002144	4.2869319116244813e-11	1.1369800232743401e-06	1613.6934396117094	1.2906255473678717e-05	0.40545046670730367
C8	0.04204920767067561	1.356370703976446e-17	0.3672657739056803	748.6520651928975	1.151070956929796e-11	186.1132940968088	9.517873850219112e-09	0.0016389278583280517	0.26676588749035723	0.0006469429140425898	6.257801009909398e-06	5.286199387543946e-07	1.0344112997265724e-12	0.43389828958658155	5.808492934688799e-05	8499.165446237614	9002.669446120077
C9	2.9093091591974737e-08	4.948271118158821e-12	1.5078803261058761e-06	2.0306522142194775e-05	2.2108933025087384e-17	6.38304984820194e-07	3.9110288194663333e-10	7.325171868574759	290.97141612659016	0.04020698661627952	4390.5056808197205	5481.773636429178	6085.018428378795	44.44067866942788	6.62838939579973e-11	555.0129860091771	0.18190567622981965
